serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
303,1957,1969.05.28,D-6424,Scheibe L-Spatz 55,Scheibe Flugzeugbau GmbH,"Krefeld, W.Germany",OY-FNX
37,1967,1976.07.07,D-CADY (F-WNDC),Nord 262A-30,"Nord-Aviation, SNCA","Méaulte, France",OY-BLV
6389,2014,2014.12.12,(D-AVXW),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCG(2)
,,,,,,,OY-XTM (2)
4408,2012,2023.05.23,SP-EQC C-GMYD,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFF
8857,2020,2022.07.15,LN-OXL F-WWPN,Airbus Helicopters H125 (AS 350B3e),Eurocopter S.A.,"Marignane, France",OY-HZN
364,2022,2022.08.25,Cancelled 2025.06.03,Tecnam P2006T,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFT
F172-0485,1967,1968.08.14,Cancelled 2024.04.17,Reims/Cessna F172H Skyhawk,Cessna Aircraft Company,"Reims, France",OY-AGH
,1977,1977.05.27,Cancelled 1996.04.22,Glasflügel 303 Mosquito,"Glasflügel, Ing. Eugen Hänle","Schlattstall, W.Germany",OY-XHF
,1960,1960.06.25,Cancelled 1974.06.10,Schleicher K 8B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-VUX
,,,Cancelled,,,,OY-9485
,1945,1945.05.19,Cancelled 1953.06.27,Grunau Baby IIB,Schneider,"Hedehusene, Denmark",OY-68
19000029,2006,2021.02.23,4L-MGT EI-GEG PK-KDA G-FBEA PT-SGD,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-YDR
22222,1983,2023.06.21,SE-RLB N745AX N110DL,Boeing 767-200BDSF,Boeing Company,"Everett, WA, USA",OY-RLB
24911,1991,1993.03.30,(PH-AHC) (PH-OZB) PT-WBJ PP-SOJ (TC-AGA),Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-MBK
27337,1994,1994.03.28,Cancelled 1996.04.24,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAP
2251,1973,2012.05.11,OO-MAN G-BAOI,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-MAH
