serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
49039,2016,2016.10.20,I-EASO,AgustaWestland AW189,AgustaWestland,"Cascina Costa, Italy",OY-HFD(2)
3649,1982,1987.06.21,N130S N3982M C-GTXA,Bell 206B3 Jet Ranger III,Bell Helicopter Company,"Forth Worth, TX, USA",OY-HDD
19000184,2008,2019.07.16,EI-GGA G-FBEL PT-SDS,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-GDB(2)
024,1986,1986.11.21,(F-WWEC),Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-CIC
B-160,1973,1986.04.03,N896SB (N806DR) N896DR N396DP N925B,Beech A100 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CCS
U-57,1969,1985.05.24,F-BSUZ N1173C,Beech 99 Airliner,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BYU
ME-352,1980,1980.08.14,EI-BHS,Beech 76 Duchess,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BED
AA5A-0083,1976,1976.06.29,Cancelled 2009.02.18,Grumman AA-5A Cheetah,Grumman American Aviation Corporation,"Cleveland, OH, USA",OY-GAJ
36716,2002,2002.08.07,Cancelled 2009.01.30,Diamond HK 36TC Super Dimona TC 100,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-TXY
,,,,,,,OY-FFA (1)
1262,2015,2023.03.06,UR-RWB 2-MFIG 9M-FIG F-WWEN,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YEJ
,,,,,,,OY-SFH (2)
363,1973,1991.02.19,D-2153,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XTH
511/C,2020,2020.03.10,Cancelled 2025.04.01,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-VNS
016,1959,1976.05.21,D-EOPG 90+08 BD+392,Piaggio FW P.149D,"Piaggio & Cie, SpA","Bremen, W.Germany",OY-POT
1056,2012,2025.05.27,OE-LTJ ES-ATJ EI-GIV VT-CJX F-WWEQ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZC
4004C,1983,2019.03.25,F-HFAA OY-PJA N56562,Maule M-7-235 Super Rocket,Maule Air Inc,"Moultrie, GA, USA",OY-NAL
177,2006,2007.03.14,D-KMXO,Schempp-Hirth Ventus 2cT,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-MXO
3192,2007,2013.09.05,VT-INK F-WWIT,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAT
44221,2014,2025.07.14,VQ-CAG 9V-MGE,Boeing 737-8SA,Boeing Company,"Renton, WA, USA",OY-JYD
65062,2018,2018.06.12,Cancelled 2025.05.12,Bell 505 Jet Ranger X,Bell Helicopter Textron Inc,"Mirabel, Que, Canada",OY-HJY
2963,1995,1995.07.31,Cancelled 2025.05.27,Cameron V-77,Cameron Balloons Ltd,"Bristol, UK",OY-GOS
,,,,,,,OY-EVA (2)
,,,,,,,OY-CIA (1)
839,1998,2018.05.25,PK-GLD HA-LPA EI-DFW VP-BVC F-WWBE,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-RUZ
03-007,1956,1981.05.12,G-BFAZ D-GGAM D-EGAM OK-K..,CZAL Super Aero 45,Aero,"Kunovice, Czeskoslovakia",OY-EFC
1121,2013,2013.11.28,F-WWEJ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZB
447,1993,2015.11.25,CC-ADO N447AG XA-UAH N447MX C-FRAR N447TM B-HYU VR-HYU F-WWDO,Airbus A320-231,Airbus Industrie,"Toulouse, France",OY-RUS
230,1991,2013.10.17,F-GKNC,Aeritalia/SNIAS ATR 42-300,Avions de Transport Regional,"Toulouse, France",OY-PCN
1453,2006,2006.12.12,(F-WQVX) (F-WWPN),Eurocopter EC 120B Colibri,Eurocopter S.A.,"Marignane, France",OY-HLS
,,,,,,,OY-HJM (2)
650-0003,1983,1990.04.09,N92LA N187CP HZ-AAA N653CC,Cessna 650 Citation III,Cessna Aircraft Company,"Wichita, KS, USA",OY-CCG
25-0169,1979,1979.07.20,Cancelled 1982.03.24,Mooney M-20K Mooney 231,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-CBC
E-1,1953,1968.07.24,D-4611 D-4000,Schneider Grunau Baby III,Schneider,"Wiesbaden, W.Germany",OY-DXJ
225,2013,2025.05.21,N685AB TC-SZA F-EEZP,Dassault Falcon 7X,Dassault Aviation,"Merignac, France",OY-TAB
RK-162,1997,2001.07.20,N2362G ZS-PDB N2362G,Raytheon Beechjet 400A,Raytheon Aircraft Company,"Wichita, KS, USA",OY-SIS
549,1997,2005.11.25,D-BLLL F-WWLB,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-RTH
60-173,2000,2000.04.06,Cancelled 2007.04.11,Learjet 60,Learjet,"Wichita, KS, USA",OY-LJF
0001,2025,2025.05.02,Cancelled,Lancair Super ES,Lancair International Inc,"Sønderborg, Denmark",OY-LHM
,1998,2014.03.28,N548AT F-WWLI,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-JZZ
9230,,2025.04.08,LN-OXN,Airbus Helicopters H125 (AS 350B3e),Eurocopter S.A.,"Marignane, France",OY-HZP
2310,2025,2025.05.19,Cancelled,Eurocopter EC 135T3H (H135),Eurocopter S.A.,"Donauwörth, Germany",OY-HNR
19000204,2008,2019.12.05,EI-GGB G-FBEM PT-SGN,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-GDC
8021,1983,1994.09.14,9M-AXD D-IBLK,Dornier 228-200,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-CHK
,,,,,,,OY-BLL (2)
3.MD223,2025,2025.04.09,Cancelled,Jonker JS-MD Single / JS-MD 3 RES,Jonker Sailplanes Pty Ltd,"Friedeburg, Germany",OY-BGX(2)
U20603621,,2025.03.20,D-EPRR(2) N7342N,Cessna TU206G Turbo-Stationair 6,Cessna Aircraft Company,"Wichita, KS, USA",OY-RKT
,,,,,,,OY-JRZ (1)
3.MD223,2025,2025.04.09,Cancelled,Jonker JS-MD Single / JS-MD 3 RES,Jonker Sailplanes Pty Ltd,"Friedeburg, Germany",OY-BGX(1)
17275928,1983,2025.05.07,G-EETG N913AT N913ER (N65939),Cessna 172Q Cutlass II,Cessna Aircraft Company,"Wichita, KS, USA",OY-MEM
25195,1997,2004.03.23,N234RH,Schleicher ASH 25M,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-MXL
7FC-454,1961,1994.10.14,N9922Y,Champion 7FC Tri-Traveler,Champion Aircraft Corporation,"Osceola, WI, USA",OY-DBM
,,,Cancelled,,,,OY-9510
1450,2017,2017.11.20,(F-WWEM),Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCG
0178,1959,1959.07.28,Cancelled,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-BAX
0155,1959,1961.03.03,Cancelled 1964.09.24,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAL
0184,1960,1960.05.03,Cancelled 1977.09.08,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAH
039,1960,1960.05.18,Cancelled 2003.11.21,VEB Lom-57 Libelle,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAE
0230,1960,1961.05.25,Cancelled 1979.06.27,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAP
0225,1961,1961.05.19,Cancelled 1977.10.07,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-AXX
0219,1961,1961.06.19,Cancelled,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAU
0220,1960,1960.07.07,Cancelled,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-XAY
0223,1961,1961.06.19,Cancelled,VEB FES.530/I Lehrmeister,VEB Apparatebau,"Lommatzch, E.Germany",OY-DXK
,1970,1976.07.16,D-KOSC,Scheibe SF 25B Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XGP
,,,,,,,OY-XSJ (2)
631,,2024.11.21,Cancelled,Sling Tsi,Sling Aircraft,,OY-TGB
,,,,,,,OY-SIF (2)
183,1981,2025.,N216MT,Robin R2160,"Robin, Avion Pierre","Dijon, France",OY-RBN
,,2023.10.05,Cancelled,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-PAS
9241,,2024.11.01,LN-OXO(2),Airbus Helicopters H125 (AS 350B3e),Eurocopter S.A.,"Marignane, France",OY-HZR
1377,2025,2025.06.16,Cancelled,Guimbal Cabri G2,Helicopteres Guimbal SA,"Les Milles, France",OY-HZG
,,,,,,,OY-DZI (2)
,1938,1938.05.27,Cancelled 1938.,S.A.I. KZ II Kupe,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-DEN
1446,1929,1934.03.20,S-357 S-107,DH.60M Gipsy Moth,de Havilland Aircraft Co Ltd,"Edgware, UK",OY-DEH
,,,,,,,OY-CKJ (3)
,,,,,,,OY-ASG (2)
1233,2015,2025.02.28,CS-DJD PR-AQX F-WWEH,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YGL
,1999,2014.12.18,TC-YAB G-CGFT I-ATMC F-WWED,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YAB
208B0810,2000,2001.06.26,D-FROG S5-CAN N1223A,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Wichita, KS, USA",OY-TPG
510/C,2019,2019.04.11,Cancelled 2025.02.10,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-TNS
525-0495,2002,2002.07.15,(N5246Z),Cessna 525 CitationJet,Cessna Aircraft Company,"Wichita, KS, USA",OY-RGG
4697240,2005,2006.03.20,(N31278) (N9512N),Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PHO
,2004,2025.07.07,N967AZ F-WVKV ZK-MCC(2) F-WQMV F-WWEN F-WWIJ,Aeritalia/SNIAS ATR 72-212,Avions de Transport Regional,"Toulouse, France",OY-NZI
8131,1997,2025.03.13,SE-USF,Rolladen-Schneider LS8-a,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-LXE
30468,2000,2001.12.19,LN-RPR SE-DTP (N1787B) (OY-KK?) (SE-DTP),Boeing 737-883,Boeing Company,"Renton, WA, USA",OY-KKT
750-0307,2012,2011.04.26,Cancelled NTU,Cessna 750 Citation X,Cessna Aircraft Company,"Wichita, KS, USA",OY-JPM
1173,2014,2014.11.25,(D-HCBC(8)),Eurocopter EC 135T2+,Eurocopter S.A.,"Donauwörth, Germany",OY-HJG
T20608695,2006,2007.03.28,N1330D,Cessna T206H Turbo Stationair,Cessna Aircraft Company,"Independence,KS, USA",OY-ESR
T.410,1981,1986.10.03,CS-ARU N1013N,Fairchild SA226-T(B) Merlin IIIB,Fairchild Swearingen Corporation,"San Antonio, TX, USA",OY-BPM
,,,Cancelled,,,,OY-9600
,,,Cancelled,,,,OY-9966
617,1979,1990.01.26,G-JEAC G-BGMC,DHC-6 Twin Otter Srs.300,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-SLA
LJ-846,1979,1979.05.25,Cancelled 1981.10.06,Beech C90 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-MBA
F150-0037/63167,1966,1966.08.19,Cancelled 1968.01.02,Reims/Cessna F150F,Cessna Aircraft Company,"Reims, France",OY-DKJ
,,,,,,,OY-ASG (1)
31P-18,1970,1972.09.18,SE-FPF,Piper PA-31P Pressurised Navajo,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-BGF
FL-161,1997,1997.04.17,N11176,Beech B300 Super King Air 350,Beech Aircraft Corporation,"Wichita, KS, USA",OY-LEL
4265,2009,2021.02.02,D-ABQK HB-JIK C-GMRX N511LX C-FXJC,DHC-8 Series 402,de Havilland Aircraft of Canada Ltd,"Downsview, Ontario, Canada",OY-YCZ
4422,2012,2023.05.12,(OY-YFZ) SP-EQF C-GPKS,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFY(2)
,,,Cancelled,,,,OY-9940
,,,Cancelled,,,,OY-9923
,,,Cancelled,,,,OY-9642
525C-0197,2015,2025.03.05,D-CMTS M-NTOS,Cessna 525C CitationJet CJ4,Cessna Aircraft Company,"Wichita, KS, USA",OY-JMH
24457,1989,2005.07.27,(OY-SRL) N457GE G-SATR TF-ATR EC-GHM EC-276 G-BPFV,Boeing 767-204ER,Boeing Company,"Everett, WA, USA",OY-SRH
,,,,,,,OY-SIF (1)
5,1968,2024.03.22,OO-ZYO D-0125,Rolladen-Schneider LS1-d,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-JUX
350,1973,2025.02.28,N258AR N258SA N53AR YV-1034C N258SA N253SA N305EH N90503 CF-WAC,DHC-6 Twin Otter Srs.300 Vistaliner,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-FHD
337,1972,2025.02.28,N331AR N331SA TI-BAF N331SA N2886Z N56SP N2886Z JA-8798 CF-DHA,DHC-6 Twin Otter Srs.300 Vistaliner,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-FHC
172S8386,2000,2010.03.19,N466RB N134ME,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-FBH
,,,,,,,OY-KCB (2)
6217,1991,1991.10.22,(D-4057),Rolladen-Schneider LS6-c,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XRG
294,2001,2001.07.12,(D-0558),Schempp-Hirth Duo Discus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-RAX
4654,1987,1987.09.10,(D-8028),Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XPX
4788,1990,1990.05.25,Cancelled 2025.01.16,Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XRF
4-183,1986,1986.06.24,Cancelled 2025.03.04,Glaser-Dirks DG-400,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-XPD
101077,1983,2005.03.07,HB-1710,Centrair 101A Pegase,Centrair SA,"le Blanc, France",OY-RGX
9612,2014,2022.02.17,N612JG B603K C-GXLG,Bombardier BD-700-1A10 Global 6000,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-SPA
,,2011.01.12,Cancelled NTU,Piaggio P.180 Avanti II,"Piaggio & Cie, SpA","Genoa, Italy",OY-PWO
4692202,2013,2014.02.17,N4410P N9537N,Piper PA-46R-350T Malibu Matrix,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-OLT
31A-086,1993,1999.12.28,N105FX N867JS N2603Q,Learjet 31A,Learjet,"Wichita, KS, USA",OY-LJB
25106,1993,2016.03.10,N773AS,Boeing 737-4Q8,Boeing Company,"Renton, WA, USA",OY-JTN
6062,2013,2013.08.21,N662GA,Gulfstream GVI G650,Gulfstream Aerospace Corporation,"Savannah, GA, USA",OY-IZM
2600,1992,1992.03.04,(SE-HGA),Eurocopter AS 350B2 Ecureuil,Aérospatiale (SNIAS),"Marignane, France",OY-HGA
28R-7737107,1977,1994.02.15,N16DB N728P,Piper PA-28R-201 Arrow III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CSV
R18201403,1979,2004.06.18,N4723S,Cessna TR.182 Turbo Skylane-RG,Cessna Aircraft Company,"Wichita, KS, USA",OY-GTA
,,,,,,,OY-SFH (1)
D4.312,2008,2009.01.08,SE-MBG,Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-RBH
4313,2010,2023.05.01,YL-BAQ C-GDDU,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFD
42-8001043,1981,1997.04.30,N809AA HB-LRI N48WA,Piper PA-42-720 Cheyenne III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-YES
3433021,1987,2003.07.04,OE-FKL D-GOAT N9091L¨(N9091N),Piper PA-34-220T Seneca III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PPS
,,,,,,,OY-KCD (3)
172RG0567,1980,1994.03.18,PH-TWD D-EIZZ N5545V,Cessna 172RG Cutlass,Cessna Aircraft Company,"Wichita, KS, USA",OY-IBM
62.317,2025,2025.03.10,Cancelled,Diamond DA 62,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-CZZ
22-5337,1957,1965.03.24,SE-CEI,Piper PA-22-150 Tri-Pacer,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DMG
340A-151,1989,1989.,SE-F51,SAAB SF 340A,SAAB-Scania AB,"Linköping, Sweden",OY-BZU
34-7250067,1971,1972.05.19,HB-LEG (N4319T),Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-RYK
18-2006,1952,1973.06.15,I-EIFI EI-79 MM522406 52-2406,Piper PA-18-95 Super Cub (L-18C),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DVV
28-26610,1970,2008.09.30,OH-PDB (SE-FPD),Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PDB
25163,1993,2014.04.14,D-KHDG,Schleicher ASH 25E,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-LJX
4697341,,2007.10.26,N9539N,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PKD
91637?,,2007.09.18,Cancelled NTU,Van's RV-9A,Van's Aircraft Inc,,OY-NIT
37161,2009,2025.03.28,EI-GRJ F-WTBC A4O-BE (N1786B),Boeing 737-81M,Boeing Company,"Renton, WA, USA",OY-JYF
19000264,2009,2017.11.10,TC-YAH EI-FCO B-3133 PT-TLE,EMBRAER ERJ 190-100LR,EMBRAER,"Sao José dos Campos, Brazil",OY-ZAH
20021,1975,1978.04.07,OH-461,PIK-20B,Polyteknikkojen Ilmailukerho,"Lahti, Finland",OY-XIV
27195,1994,2005.11.09,N625EV B-16625 (B-16609),Boeing 767-25E,Boeing Company,"Everett, WA, USA",OY-SRJ
950280,2005,2018.12.18,N44FX,Rihn DR-107 One Design,"Rihn, Dan",USA,OY-ONE(2)
2843431,2001,2001.06.01,(N9520N),Piper PA-28-181 Archer III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAI
1164,2014,2014.07.23,F-WWEE,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZE
7172,2011,2011.05.05,(F-WWXM),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HUE
9119,,2022.05.31,F-WWXU,Airbus Helicopters H125 (AS 350B3e),Eurocopter S.A.,"Marignane, France",OY-HLU
2197,1965,1977.06.15,N1305X,Bell 204B,Bell Helicopter Company,"Fort Worth, TX, USA",OY-HCA
1251,2002,2002.09.26,Cancelled 2020.10.16,Robinson R44 Raven,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HTO
,,,Cancelled,,,,OY-9424
12738,2009,2009.05.19,Cancelled 2023.03.06,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HHR
6419,,2002.09.20,SE-JFH JA6675 (F-WYMC),Eurocopter AS 365N2 Dauphin 2,Aérospatiale (SNIAS),"Marignane, France",OY-HJP
,,,,,,,OY-JRG (1)
B-55,1970,1986.06.24,LN-PAO LN-KCK N45GT N101CJ N8100R,Beech 100 King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CCP
BB-545,1979,1979.08.14,Cancelled 1980.06.03,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CBY
4874,2000,2000.08.01,Cancelled 2019.11.06,Cameron V-77,Cameron Balloons Ltd,"Bristol, UK",OY-GOT
8661,2022,2022.08.04,N661SU,Cirrus SR 22,Cirrus Design Corporation,"Duluth, MN, USA",OY-UGO
340A1543,1982,2005.01.28,D-IXXI N1228K,Cessna 340A,Cessna Aircraft Company,"Wichita, KS, USA",OY-VIM
31143,2016,2016.06.24,Cancelled 2025.01.10,Schleicher ASH 31 Mi,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-THX
4415,1972,2011.07.26,D-KMAR,Scheibe SF 25C Falke 2000,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-TEX
22574,1981,1981.04.10,(N5700X),Boeing 727-2J4,Boeing Company,"Renton, WA, USA",OY-SBG
AA5A-0819,1979,2007.11.19,G-JAZZ (N26253) N26932,Grumman AA-5A Cheetah,Grumman American Aviation Corporation,"Cleveland, OH, USA",OY-OZZ
,,,,,,,OY-KBE (2)
,,,,,,,OY-GAC (1)
S52/FR.1470,1983,1985.10.30,Cancelled,Jodel D.112 (mod.),"Jodel, Avions","Skals, Denmark",OY-CMB
,,,,,,,OY-BEC (1)
BB-816,1981,1981.02.24,(OY-BEC),Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BEY
,,,,,,,OY-AYP (1)
,,,,,,,OY-ADW (1)
18281036,2001,2017.10.30,SP-GDS N399DF,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-NBJ
LJ-1223,1989,1996.02.28,N5522X,Beech C90A King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JAB
3257071,1998,1999.01.07,Cancelled 2018.11.19,Piper PA-32R-301T Saratoga II TC,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-GKM
,,,,,,,OY-ASC (2)
1086,2013,2018.11.26,XA-NLP F-WWEW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCU
,,,,,,,OY-XBE (2)
2958,,2013.01.31,OE-IBM VT-INE F-WWBM,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAN
9186,2005,2006.12.07,P4-HER C-FECI,Bombardier BD-700-1A11 Global 5000,Bombardier Inc Canada,"Dorval, Que, Canada",OY-FIT
20800224,1992,2019.05.14,G-OHPC N228SR,Cessna 208 Caravan I,Cessna Aircraft Company,"Independence,KS, USA",OY-RUL(1)
501,1996,1996.04.22,F-WWEE,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-CIK
,2007,2016.06.29,B-22812 F-WWEM,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBK
8602,,2017.06.19,Cancelled NTU,Airbus A321-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-PAH
,,,,,,,OY-PAG (2)
,,,,,,,OY-MAD (2)
1587,2001,2001.11.29,(SE-REI) D-AVZK,Airbus A321-232,Airbus Industrie,"Finkenwerder, Germany",OY-KBK
500-0406,1981,1992.02.13,SE-DET (N67829),Cessna 500 Citation I,Cessna Aircraft Company,"Wichita, KS, USA",OY-FFB
59-1967,1940,,(OY-BWI) 40-2141,North American AT-6-NA Texan,North American Aviation Inc,"Dallas, TX, USA",OY-EAK(2)
59-1967,1940,2006.01.23,40-2141,North American AT-6-NA Texan,North American Aviation Inc,"Dallas, TX, USA",OY-BWI
0389048,1989,1989.11.24,SP-WGE,PZL-110 Koliber 150,Panstowe Zaklady Lotnicze,"Warszawa-Okecie, Poland",OY-CRY(1)
29347,2003,2009.09.25,PH-XRC,Boeing 737-7K2,Boeing Company,"Renton, WA, USA",OY-TDZ
1845,2019,2019.02.12,HB-FRD,Pilatus PC-12/47E,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-THP
4697350,2008,2008.08.20,Cancelled 2010.11.05,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PKE
1151,2014,2024.11.18,M-ABPF HK-5040 (HK-5040-X) F-WWEP,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZB
47361,1969,1990.10.11,SE-DBO,Douglas DC-9 Srs.21,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-KIC
47110,1967,1967.10.14,Cancelled 1968.08.12,Douglas DC-9 Srs.32,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-KGU
106,1985,1998.05.05,N54026 (N53994) C-GFYI,DHC-7 Srs.103,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-GRE
45-005,1997,2020.01.14,OE-GIQ G-ZXZX N455LJ,Learjet 45,Learjet Inc.,"Wichita, KS, USA",OY-GIC
591,2002,2014.08.06,JA804K C-GFUM,DHC-8 Series 314,de Havilland Aircraft of Canada Ltd,"Downsview, Ontario, Canada",OY-CUK
17269173,1977,1977.06.28,N734WM,Cessna 172N Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-AJL
4327,2010,2022.08.18,SX-OBH G-PTHH C-GFAK,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFA
,,,,,,,OY-HMS (2)
172S9701,2004,2008.04.30,N781MK,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-FHV
1185,1976,1976.07.02,Cancelled 2024.10.17,Grob G 102 Astir CS,"Grob Flugzeugbau, Burkhart","Mindelheim, W.Germany",OY-XGT
,,,,,,,OY-MBC (3)
9331,2009,2012.02.07,G-KANL (G-DORF) C-FUOM,Bombardier BD-700-1A10 Global Express XRS,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-LNA
2911,,2013.01.15,OE-IBL VT-IND F-WWDG,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAM
9571,2024,2024.10.30,(F-WWXQ),Airbus Helicopters H125 (AS 350B3e),Airbus Helicopters,"Marignane, France",OY-HVP
1060,2002,2007.11.13,F-HALE I-FXRF,Piaggio P.180 Avanti,"Piaggio & Cie, SpA","Genoa, Italy",OY-TLP
2883,2006,2012.12.10,OE-IBJ VT-INC F-WWBR,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAL
18-3165,1953,1979.01.16,Y-654 66-654 L-91 53-4765,Piper PA-18-95 Super Cub (L-18C),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-AZZ
3003,2015,2016.03.03,N151WS,Piaggio P.180 Avanti II EVO,"Piaggio & Cie, SpA","Genoa, Italy",OY-RIB
,,,,,,,OY-MMM (4)
1817,2002,2012.09.,LN-RKI D-AVZK,Airbus A321-231,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-KBU
3199,2001,2012.08.10,HB-AEU OE-HCM N328PT D-BDXM,Dornier 328-300,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-JJB
6420,1991,2003.01.29,(SE-JGU) JA6677 F-WYMR,Eurocopter AS 365N2 Dauphin 2,Aérospatiale (SNIAS),"Marignane, France",OY-HLL
D4.205,2006,2008.,PH-TIN I-JOVE OE-VPU,Diamond DA 40 D Diamond Star,Diamond Aircraft Industries GmbH,"Wiener Neustadt, Austria",OY-CHY
19000213,2008,2019.06.13,EI-GGC G-FBEN PT-SGW,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-GDA(2)
