serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
28-7425154,1973.0,1974.05.29,Cancelled 1980.01.18,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOB,Crashed 12.8.1974 Gørlev,1974-1980
28-7425439,1974.0,1974.12.17,Cancelled 1980.03.19,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOD,"OY-TOD, G-WOLF",1974-1980
28-7415656,1974.0,1974.11.01,Cancelled,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOE,,1974
28-7425324,1974.0,1974.08.01,(N9597N),Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOF,"N9597N, OY-TOF, damaged 25.8.1990 Padborg, (D-ESAW), OY-TOF",1974
28-7515329,1975.0,1975.05.20,Cancelled 2012.10.10,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOH,"Anlægsselskabet Dansk Nybyg A/S, crashed near Sæby 5.4.2010
(Controlled flight into terrain)",1975-2012
28-7525045,1974.0,1975.05.27,Cancelled,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOI,,1975
28-7525049,1974.0,1975.03.24,Cancelled 2003.08.07,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOJ,"OY-TOJ, G-CCLJ",1975-2003
28-7515096,1974.0,,Cancelled NTU,Piper PA-28-151 Cherokee Warrior,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOL,"(OY-TOL), OY-TOT",
39-8,1970.0,1974.08.16,N8853Y,Piper PA-39-160 Twin Comanche C/R,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOO,"N8853Y, OY-TOO, G-SIGN",1974-1978
28R-7535262,1975.0,1975.07.07,Cancelled,Piper PA-28R-200 Arrow II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOU,,1975
54,1969.0,1974.11.05,D-CIFG (F-WNDA),Nord 262A-30,"Nord-Aviation, SNCA","Bourges, France",OY-TOV,"(F-WNDA), F-BNDA, D-CIFG, OY-TOV Cimber Air, N487A, OY-TOV,  N91205, OY-TOV. instructual airframe, Morlaix-Ploujean, France","1974-1975 
1981-1987
1988-1994"
32-7540130,1975.0,1975.06.05,Cancelled 1985.07.26,Piper PA-32-300 Cherokee Six,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOY,Crashed 28.9.1980 Hesselø,1975-1985
310G0110,1962.0,1962.06.07,(N2910R),Cessna 310G,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRA,"N2910R, OY-TRA, D-ILGT, crashed 17.4.1980 Offenburg, Germany",1962-1972
17249339,1962.0,1962.06.16,(N1639Y),Cessna 172C Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRB,"(N1639Y), OY-TRB, crashed 25.8.1963 Egelsbach at Frankfurt",1962-1964
17249599,1962.0,1962.11.06,(N2099Y),Cessna 172D Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRC,"(N2099Y), OY-TRC, crashed 14.5.1988 Herning",1962-1989
15059790,1962.0,1963.04.09,(N1970Z),Cessna 150C,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRD,"(N1970Z), OY-TRD",1963
17249987,1962.0,1962.,(N2387U),Cessna 172D Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRF,"(N4456U), OY-TRF, crashed 25.8.1974 Jyllandsringen. Mekanikerskolen Kastrup",1964-1975
205-0217,1963.0,1963.03.12,(N8217Z),Cessna 210-5 (Cessna 205),Cessna Aircraft Company,"Wichita, KS, USA",OY-TRG,"(N8217Z), OY-TRG, crashed 5.6.1979 Vejrø",1963-1979
,1962.0,1969.05.22,SE-CIH,Jodel D.112,"Jodel, Avions","Ludvika, Sweden",OY-TRL,"SE-CIH, OY-TRL, CofA expired 1974, OY-TRL,  SE-CIH","1969-1980 
1980-1980"
12136,1944.0,1969.04.24,OO-MCG 44-79668,Piper J-3C-65 Cub (L-4H),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-TRP,"44-79668, OO-MCG, OY-TRP",1969
F17200991,1973.0,1974.03.06,LN-BFD,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-TRR,"LN-BFD, OY-TRR",1974
1553,1970.0,1974.04.26,SE-CIZ,SOCATA MS.883 Rallye 115,SOCATA,"Tarbes, France",OY-TRS,"SE-CIZ, OY-TRS, CofA expired 1986",1974-1990
21057822,1961.0,1974.04.26,SE-CYC (N9522X),Cessna 210A,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRT,"N9522X, SE-CYC, OY-TRT, crashed 
11.10.1982 Hesselø",1974-1983
10953,1968.0,1974.06.12,SE-CIX,SOCATA MS.892A Rallye Commodore 150,SOCATA,"Tarbes, France",OY-TRU,"SE-CIX, OY-TRU, D-EATB",1974-1988
12018,1972.0,1974.06.05,SE-FSS,SOCATA MS.894A Rallye Minerva 220,SOCATA,"Tarbes, France",OY-TRW,"SE-FSS, OY-TRW, crashed 20.9.1980 Thisted",1974-1981
P20600621,1969.0,1974.05.29,D-EDEV OE-DEY N5721J,Cessna P206E Super Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRZ,"N5721J, OE-DEY, D-EDEV, OY-TRZ, Q-Faldskærmscenter, wfu",1974-2010
19230,1967.0,2001.09.28,N925UP N891TW,Boeing 727-31C,Boeing Company,"Renton, WA, USA",OY-UPC,"N891TW, N925UP, OY-UPC Star Air, N925UP, stored Roswell 2004, cancelled 2006, broken up",2001-2002
19229,1967.0,1996.01.04,N923UP N890TW,Boeing 727-31C,Boeing Company,"Renton, WA, USA",OY-UPM,"N890TW, N923UP, OY-UPM Star Air, United Parcel Service, N923UP, Roswell 2004, broken up.",1996-2002
19094,1966.0,1993.11.01,N945UP N422EX HK-2475 N7406U,Boeing 727-22CA,Boeing Company,"Renton, WA, USA",OY-UPT,"N7406U, HK-2475, N422EX, N945UP, OY-UPT Star Air, United Parcel Service, N945UP, cancelled 2008, stored Roswell",1993-2002
500-0294,1976.0,2001.06.12,SE-DVB N924AS (N501LG) HL7226 N5294J,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-VIP(2),"N5294J, HL7226, (N501LG), N924AS, SE-DVB, OY-VIP Scandinavian Trading Company, OE-FCM, N468PD, broken up in 2018",2001-2004
,,2021.12.08,Cancelled,,,,OY-VKU,,
,,2021.12.08,Cancelled,,,,OY-VKW,,
899408,1989.0,1995.01.20,RA-01364 DOSAAF-20,Yakovlev Yak-52,Yakovlev,"Bacau, Romania",OY-YAK,"20 yellow, RA-01364, OY-YAK",1995
28-7625122,1976.0,1990.12.20,N8523C,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CYF,"N8523C, OY-CYF",1990
17272201,,1989.12.01,N8443E,Cessna 172N Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-CYK,"N8443E, (OY-CYK), N8443E, LN-MTH",
25-4760,1968.0,1990.06.19,G-BDCT CS-AIV,Piper PA-25-235 Pawnee C,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-CYP,"CS-AIV, G-BDCT, OY-CYP",1990
8607-1794N,1990.0,1992.05.21,Cancelled 2000.12.11,Polliwagen,Polliwagen Inc,"Næstved, Denmark",OY-CYS,"OY-8607, OY-CYS, (havareret) 1990, genopbygget, slettet som  protest, Danmarks Flyvemuseum","1990-1990
1992-2000"
6513,1995.0,1995.12.22,Cancelled 2000.06.30,Rand Robinson KR-2,Rand Robinson Engineering Inc,"Tommerup, Denmark",OY-CYU,"OY-8306, OY-CYU",1995-
918,1978.0,1989.06.13,N2795P,Lake LA-4-200 Buccaneer,Lake Aircraft div. of Consolidated Aeronautic,"Laconia, NH, USA",OY-CYW,"N2795P, OY-CYW ""Aasiaq""/""Edderkoppen"", 
crashed 30.9.1991 Jakobshavn",1989-1993
25-4018,1966.0,1990.06.26,G-AXFD OH-PIK N4502Y,Piper PA-25-235 Pawnee B,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-CYY,"N10F, N4502Y, OH-PIK, G-AXFD, OY-CYY ""Udyret"", damaged 26.7.1990 Arnborg (EKAB), damaged 7.7.2023 at Arnborg (EKAB)",1990
,1946.0,1946.11.25,Cancelled,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DAB,,1946
5058,1927.0,2029.04.05,T-DOLB,Fokker F.VIIa,"Nederlandse Vliegtuigenfabriek, NV","Amsterdam, Holland",OY-DAC,"T-DOLB, OY-DAC, DDL, crashed 2.5.1933 Hannover, Germany",1929-1933
5053,1928.0,1930.05.15,CH-158,Fokker F.VIIa,"Nederlandse Vliegtuigenfabriek, NV","Amsterdam, Holland",OY-DAD,"CH-158, OY-DAD, DDL ""Rønne"", SE-ASF, broken up 8.11.1952",1930-1946
,1946.0,1946.11.27,Cancelled 1958.08.11,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DAE,"OY-DAE, D-EHYC, OY-DAE, compulsory cancellation","1946-1958 
1959-2003"
44,1926.0,1929.06.,T-DOXF,Farman F.121 Jabiru,"Farman, H & M","København, Denmark",OY-DAF,"T-DOXF DDL ""København"", (OY-DAF), broken up 1931",
5066,1934.0,1934.04.28,Cancelled 1943.12.,DH.60G-III Moth Major,de Havilland Aircraft Co Ltd,"Edgware, UK",OY-DAH,Stolen by German occupation troops 1943.,1934-1939
23-1888,1960.0,1960.08.19,Cancelled 1983.08.26,Piper PA-23-160 Apache G,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DAI,"OY-DAI, conv. to Geronimo  1979, N4449N, N92RS",1960-1983
87,1935.0,1935.05.11,Cancelled 1947.02.13,Fokker F.XIIM,Fokker NV,"København, Denmark",OY-DAJ,"DDL ""Kronprinsesse Ingrid"", broken up Kastrup 1947",1935-1947
,,,,,,,OY-DAK (1),"G-ACJC, OY-DAK, crashed 20.4.1935 Dronningmølle",1935-1935
5610,1935.0,1936.08.08,Cancelled 1943.01.02,Junkers Ju 52/3m,Junkers Flugzeug- und Motorenwerke,"Dessau, Germany",OY-DAL,"""Selandia"", crashed 18.12.1942 Vienna, Austria",1936-1943
2894,1938.0,1938.07.21,Cancelled 1940.04.09,Focke Wulf Fw 200A-02 Condor,Focke Wulf Flugzeugbau GmbH,"Bremen, Germany",OY-DAM,"OY-DAM ""Dania"", G-AGAY ""Wolf"", (DX177), crashed 12.7.1941 White Waltham",1938-1940
,1927.0,1928.05.26,T-DANA,,Demuyter,"Bruxelles, Belgium",OY-DAN,"T-DANA, (OY-DAN)",
,1927.0,1928.05.26,T-DANA,,Demuyter,"Bruxelles, Belgium",OY-DAN,Nordisk lufttrafik. Stolen by German occupation troops 1943.,1938-1940
,1927.0,1928.05.26,T-DANA,,Demuyter,"Bruxelles, Belgium",OY-DAN,"T-DANA, (OY-DAN)",
,1927.0,1928.05.26,T-DANA,,Demuyter,"Bruxelles, Belgium",OY-DAN,Nordisk lufttrafik. Stolen by German occupation troops 1943.,1938-1940
1155,1938.0,1938.07.23,Cancelled 1943.12.,Piper J-2 Cub,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DAO,Stolen by German occupation troops 1943.,1938-1940
,1938.0,1938.12.28,Cancelled 1943.12.,S.A.I. KZ II Kupe,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-DAR,"Sportsflyveklubben ""Doggen"". Stolen by German occupation troops 1943.",1938-1940
6347,1937.0,1955.12.08,OH-DHA OH-VKH OH-BLA,DH.89A Dragon Rapide,de Havilland Aircraft Co Ltd,"Hatfield, UK",OY-DAS,"OH-BLA, OH-VKH, OH-DHA, OY-DAS, D-IGEL, broken up 1972",1955-1956
1998,1939.0,1939.04.24,Cancelled 1943.12.,Piper J-3C-40 Cub,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DAT,Stolen by German occupation troops 1943.,1939-1943
11,1938.0,1939.04.28,Cancelled 1944.10.28,S.A.I. KZ II Sport,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-DAU,"OY-DAU, SE-APU, crashed 30.7.1946 Juniskar, Sundsvall, Sweden",1939-1944
4-565,1939.0,1939.10.03,Cancelled 1943.12.,Piper J-4A Cub Coupe,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DAV,Stolen by German occupation troops 1943.,1939-1940
175,1960.0,1960.06.25,Cancelled 1973.03.13,Jodel D.120,"Jodel, Avions","Issoire, France",OY-DAW,Crashed 30.8.1972 Wales,1960-1973
454,1961.0,,N9922Y,Champion 7FC Tri-Traveler,Champion Aircraft Corporation,,OY-DBB,"N9922Y, (OY-DBB), OY-DBM",
1204,1955.0,1988.07.15,V-62,Stampe SV.4B,Stampe et Vertongen,"Evere, Belgium",OY-DBC,"V-62 (Force Aérienne Belge), OY-DBC, Dansk Veteranflysamling",1988
15072077,1972.0,1993.03.05,XB-CXY XC-FUQ XB-NUA (N6577G),Cessna 150L,Cessna Aircraft Company,"Wichita, KS, USA",OY-DBK,"XB-NUA, XC-FUQ, XB-CXY, OY-DBK",1993
,1946.0,1946.11.20,Cancelled 1952.04.01,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DBU,Destroyed by fire 23.8.1951 Nakskov,1946-1952
22-5233,1957.0,1964.03.23,N7506D,Piper PA-22-150 Tri-Pacer,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCB,"N7506D, OY-DCB",1964
28858,1956.0,1964.02.14,SE-CMN N6758A,Cessna 172,Cessna Aircraft Company,"Wichita, KS, USA",OY-DCH,"N6758A, SE-CMN, OY-DCH, WFU 1984",1964-1984
7330,1942.0,1946.08.01,42-15535,Douglas C-53-DO Skytrooper,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCI,"42-15535, OY-DCI DDL ""Sejr Viking"". Crashed 12.2.1948 Ulrichstein, Germany",1946-1948
B.539,1964.0,1964.05.04,Cancelled 1971.09.23,Beagle A.109 Airedale,Beagle Aircraft Ltd,"Rearsby, UK",OY-DCN,Crashed 7.8.1971 Ikast,1964-1971
42962,1946.0,1946.04.02,NC34966,Douglas DC-3D,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCO,"NC34966, OY-DCO DDL, SAS ""Tor Viking"", ""Orm Viking"", SE-CFT, OY-DNC Faroe Airways, N4296, destroyed by fire 15.4.1969 Coventry-Baginton, UK",1946-1957
TC-492,1963.0,1963.08.29,Cancelled 1967.04.24,Beech 95-A55 Baron,Beech Aircraft Corporation,"Wichita, KS, USA",OY-DCP,"N706L, OY-DCP, HB-GFB, F-BVTZ",1963-1967
22-7469,1960.0,1964.03.04,G-ARES N3558Z,Piper PA-22-160 Tri-Pacer,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCR,"N3558Z, G-ARES, OY-DCR",1964
25-2596,1964.0,1964.04.17,Cancelled 1970.11.20,Piper PA-25-235 Pawnee,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCS,"OY-DCS, SE-FPX, D-EFPX, PH-LAT,",1964-1970
25-2597,1964.0,1964.04.17,Cancelled 1970.11.20,Piper PA-25-235 Pawnee,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCT,"OY-DCT, SE-FPU, crashed 4.6.1971",1964-1970
22-9133,1961.0,1964.04.14,(SE-CZN),Piper PA-22-108 Colt,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCV,"(SE-CZN), OY-DCV",1964
185-0760,1964.0,1964.07.30,(N5860T),Cessna 185C Skywagon,Cessna Aircraft Company,"Wichita, KS, USA",OY-DCZ,"N5860T, OY-DCZ. Damaged 14.7.1978 Lake Ferguson, Søndre Strømfjord, Greenland. N185PT","1964-1979 
1979-1985"
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-100825, OY-DDA ""Sven Viking"", N9984F, N50V, 100825 Aeronavale ""25"", ""315159"" Musée des Troupes Aérotransportées, St. Mère l'Eglise as ""315159"" 8.1981, 2100825, 1991",1946-1951
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-23802, LN-IAP, 68-681, K-681, ""OY-DDA Sven  Viking"", Danmarks Flyvemuseum",XXX
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"(OY-DDA), OY-DFI  DDL, SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM. Withdrawn from use, broken up",(1946)
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-100825, OY-DDA ""Sven Viking"", N9984F, N50V, 100825 Aeronavale ""25"", ""315159"" Musée des Troupes Aérotransportées, St. Mère l'Eglise as ""315159"" 8.1981, 2100825, 1991",1946-1951
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-23802, LN-IAP, 68-681, K-681, ""OY-DDA Sven  Viking"", Danmarks Flyvemuseum",XXX
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"(OY-DDA), OY-DFI  DDL, SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM. Withdrawn from use, broken up",(1946)
25-2635,1964.0,1966.05.03,SE-EIF,Piper PA-25-235 Pawnee,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DDB,"SE-EIF, OY-DDB, SE-FPZ, SX-AGV",1966-1970
132,1965.0,1966.06.10,Cancelled 1968.09.23,Gardan GY-80 Horizon 180,Sud-Aviation,"Rochefort, France",OY-DDC,Crashed 31.7.1967 Hoven,1966-1968
19218,1943.0,1946.03.29,42-100755,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDE,"42-100755, OY-DDE DDL ""Erik Viking"", OY-KLI SAS, N9983F, CC-CLD, CC-CLDJ, CC-CBP ""204"", broken up 1979 Puerto Montt, Chile",1946-1950
19218,1943.0,1946.03.29,42-100755,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDE,"N8248Q, (OY-DDE), OY-DFO DDL, SAS ""Rolf Viking"", OO-SBL, KX-2/OT-CWV, (LN-TUR), G-AZSI, Stansted Fire School 1977",(1946)
186,1966.0,1966.12.13,Cancelled,Gardan GY-80 Horizon 180,"Gardan, Yves","Tarbes, France",OY-DDF,,1966
173,1966.0,1966.09.22,Cancelled 1972.03.28,Gardan GY-80 Horizon 160,"Gardan, Yves","Tarbes, France",OY-DDG,"OY-DDG, SE-FTZ",1966-1972
30-113,1963.0,1968.03.05,OE-FPA N7142Y,Piper PA-30-160 Twin Comanche,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DDH,"N7142Y, OE-FPA, OY-DDH, N40VM",1968-2002
13727,1944.0,1946.09.16,KG726 42-93778,Douglas C-47A-25-DK Skytrain,Douglas Aircraft Company Inc,"Oklahoma City, OK, USA",OY-DDI,"42-93778, KG726, OY-DDI DDL ""Roar Viking"", N9986F, CC-CLDN, CC-CBS, broken up 1979 Bahia de los Reyes",1946-1951
97,1966.0,1966.08.04,Cancelled,Champion 7GCAA Citabria,Champion Aircraft Corporation,"Osceola, WI, USA",OY-DDJ,,1966
15059579,1962.0,1966.06.10,SE-EAG N1179Y,Cessna 150B,Cessna Aircraft Company,"Wichita, KS, USA",OY-DDK,"N1179Y, SE-EAG, OY-DDK, crashed 19.3.1976 Obbekær",1966-1980
M20C-2920,1965.0,1966.12.12,N79805,Mooney M-20C Mark 21,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-DDL,"N79805, OY-DDL",1966
22-7506,1960.0,1966.07.05,OE-DAN,Piper PA-22-150 Carribean,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DDN,"OE-DAN, OY-DDN, crashed 12.8.1972 Skovlunde",1966-1976
20453,1943.0,1946.06.12,43-15987,Douglas C-47A-90-DL SkytraIN,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDO,"43-15987, OY-DDO DDL ""Odd Viking"", EI-AFB, VR-TBT, G-APPO, broken up 1967 Luton",1946-1948
F172-0200,1965.0,1966.08.18,N8072Z,Reims/Cessna F172G Skyhawk,Cessna Aircraft Company,"Reims, France",OY-DDP,"N8072Z, OY-DDP, crashed 11.3.1991 NV Lilleø, Letten Grund",1966-1994
M20E-1199,1966.0,1967.01.04,(N9250M),Mooney M-20E Super-21,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-DDS,"(N9250M), OY-DDS, G-BHPC, OY-DDS, SE-KSP","1967-1980 
1981-1991"
19865,1944.0,1946.10.28,43-15399,Douglas C-47A-80-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDU,"43-15399, OY-DDU DDL ""Leif Viking"", F-BFGM, broken up 1969 Dinard",1946-1949
107,1959.0,1966.12.15,SE-CHE (D-EFEW),Klemm Kl 107B,"Klemm Flugzeugbau, Hans","Nabern-Teck, W.Germany",OY-DDV,"D-EFEW, SE-CHE, OY-DDV, broken up 1972 Herning",1966-1972
172,1966.0,1966.08.04,Cancelled 1981.09.21,Gardan GY-80 Horizon 180,"Gardan, Yves","Tarbes, France",OY-DDW,Damaged in a storm 19.4.1980 Skovlunde,1966-1981
,1967.0,1967.05.02,Cancelled 1967.08.25,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-DDZ,Crashed 15.5.1967 Allerød,1967-1967
,1925.0,,T-DOXB,Farman F.121 Jabiru,"Farman, H & M","Billancourt, France",OY-DEC,"T-DOXB, DDL, (OY-DEC), broken up 1931",
416,1927.0,1929.05.,T-DALF G-EBSI,DH.60X Moth,de Havilland Aircraft Co Ltd,"Edgware, UK",OY-DEF,"G-EBSI, T-DALF, OY-DEF crashed 21.5.1929 Vejle",1929-1929
1402,1929.0,1931.12.29,G-AALF,DH.60M Gipsy Moth,de Havilland Aircraft Co Ltd,"Edgware, UK",OY-DEG,"G-AALF, SE-..., OY-DEG, crashed 2.10.1932 Sønderborg",1931-1932
170,1935.0,1935.08.12,Cancelled 1938.09.,Miles M.2F Hawk Major,Phillips & Powis Aircraft Co,"Reading, UK",OY-DEK,Crashed 9.1938. (Engine to OY-ACE),1935-1938
,1946.0,1965.01.22,D-EDUD OY-DHI,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DEJ,"OY-DHI, D-EDUD, OY-DEJ",1965
107,1934.0,1935.01.14,G-ACVP,Miles M.2 Hawk,Phillips & Powis Aircraft Co,"Reading, UK",OY-DEI,"G-ACVP, OY-DEI, crashed 10.10.1936 Kastrup",1935-1937
LBII-112,1929.0,1936.08.14,112 104 H2023,Avro 504N,A.V.Roe & Co Ltd,"København, Denmark",OY-DEL,"H2023, 104 (L.B.I), 112 (L.B.II), OY-DEL. Stolen by German occupation troops 1943.",1936-1939
2993,1938.0,1938.11.19,Cancelled 1947.01.31,Focke Wulf Fw 200A-05 Condor,Focke Wulf Flugzeugbau GmbH,"Bremen, Germany",OY-DEM,"DDL ""Jutlandia"", crashed 4.9.1946 Northolt, England",1938-1947
1162,1938.0,1938.07.15,Cancelled 1938.11.,Piper J-2 Cub,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DEO,"OY-DEO, OO-DEO, cancelled 1962",1938-1938
1316,1938.0,1938.11.29,(NC17882),Piper J-2 Cub,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DEP,"NC17882, OY-DEP. Stolen by German occupation troops 1943.",1938-1939
,1938.0,1939.02.09,Cancelled 1939.06.25,S.A.I. KZ II Kupe,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-DER,"Sportsflyveklubben København, Crashed 25.6.1939 Kastrup",1939-1939
2535,1939.0,1939.05.09,Cancelled 1943.12.,Piper J-3C-50 Cub,Piper Aircraft Corporation,"Lundtofte, Denmark",OY-DES,Stolen by German occupation troops 1943.,1939-1943
516,1959.0,1964.02.26,F-BJFD,Scintex CP.301C Emeraude,"Scintex, Société","Riom, France",OY-DEU,"F-BJFD, OY-DEU",1964
4990,1927.0,1939.06.22,PH-ALY PH-OTO PH-ADR H-NADR H-NADP,Fokker F.VIIa,Fokker NV,"Amsterdam, Holland",OY-DEV,"H-NADP, H-NADR, PH-ADR, PH-OTO, 
PH-ALY, OY-DEV, FE-2 Red Cross - Finland",1939-1941
23,1940.0,1940.,Cancelled NTU,S.A.I. KZ II Kupe,Skandinavisk Aero Industri A/S,"Ålborg, Denmark",OY-DEY,"(OY-DEY), SE-ANN, OY-DHK, OY-82X05, OY-DHK",
23,1940.0,1940.,Cancelled NTU,S.A.I. KZ II Kupe,Skandinavisk Aero Industri A/S,"Ålborg, Denmark",OY-DEY,"OH-EMB, OY-DEY",1965
8040,1935.0,1940.03.30,VR-RAI,DH.87B Hornet Moth,de Havilland Aircraft Co Ltd,"Hatfield, UK",OY-DEZ,"VR-RAI, OY-DEZ, SE-ALD, G-AMZO, OY-DEZ, Dansk Veteranflysamling","1940-1942 
1974"
1124,1967.0,1967.11.21,Cancelled 2003.10.28,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-DFF,LDB. udl.,1967-2003
1,1967.0,1968.09.02,Cancelled 1968.11.04,Johansen CAJO-59,"Johansen, Carl","Næsby, Denmark",OY-DFH,"OY-DFH, D-GDFH",1968-1968
42931,1946.0,1946.05.28,Cancelled 1956.10.08,Douglas DC-4-1009 Skymaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DFI,"(OY-DDA), OY-DFI  DDL/SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM, wfu, broken up",1946-1956
1149,1967.0,1968.01.31,Cancelled 1972.10.13,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-DFJ,Crashed 23.8.1971 Egeskov,1968-1972
1159,1967.0,1968.04.30,Cancelled 1975.12.18,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-DFN,Crashed 24.9.1970 Kollund,1968-1975
42987,1946.0,1946.05.15,N8248Q,Douglas DC-4-1009 Skymaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DFO,"N8248Q, (OY-DDE), OY-DFO DDL/SAS ""Rolf Viking"", OO-SBL, KX-2/OT-CWV, (LN-TUR), G-AZSI, Stansted Fire School 1977",1946-1954
44144,1954.0,1967.01.24,N323A N323AA,Douglas DC-7,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DFR,"N323AA, N323A, OY-DFR Conair, flown to a field in Thisted 16.12.1971. Broken up 1984",1967-1972
1535,1961.0,1967.08.04,(G-11) G-ARAY PI-C784 G-ARAY VP-LIO G-ARAY PP-VJQ G-ARAY YV-C-AMC,HS 748 Srs.2,Hawker Siddeley Aviation Ltd,"Manchester, UK",OY-DFV,"G-ARAY, YV-C-AMC, G-ARAY,PP-VJQ, G-ARAY, VP-LIO, G-ARAY, PI-C784, G-11, OY-DFV Falck Flyvetjeneste, Maersk,  G-ARAY, broken up 1990 Lasham",1967-1971
