serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
485-52/TC,2015.0,2015.05.27,Cancelled 2018.02.14,Vulcanair P.68C-TC,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-GIS,"OY-GIS, BioFlight,  G-PDGV, EI-HPY, + 20.11.25 near Lisselan, Co Waterford",2015-2018
18261259,1972.0,2025.,LN-FXV SE-FXV N20853,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-JES(1),,
1152,2014.0,2013.11.27,Cancelled NTU,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-CUH,"F-WWEQ, (OY-CUH), PK-GAF, M-ABRL, Stored Francazal-Toulose april 2025, P2-ATR",(2014)
154,1989.0,2004.08.30,F-WQNF EC-ESS EC-383 F-WWEK,Aeritalia/SNIAS ATR 72-202,Avions de Transport Regional,"Toulouse, France",OY-RTE,"F-WWEK, EC-383, EC-ESS, F-WQNF, OY-RTE Cimber Air, HB-AFJ (ATR 72-202F), EI-SLV, HB-AFJ, OE-LFM, HB-AFJ",2004-2005
53544,1997.0,1997.09.10,Cancelled 2006.09.21,McDonnell Douglas MD-90-30,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KIN,"SAS ""Tormod Viking"", TT 16042H, 14074C, København 2005, OH-BLD, N931DN, wfu and stored Blythville, AR 2020, scrapped",1997-2006
28293,1998.0,1998.11.17,(N1787B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKB,"N1787B, OY-KKB SAS  ""Bera Viking"", LN-RPZ, WFU 2017, scrapped 2018",1998-1999
,,,,,,,OY-CKK (1),"F-WWFH, OY-CKK Kirkbi A/S-Lego Systems, F-GHGO, N110FJ, C-GJPG, C-GJPT, N900EJ, N999EA, C-GEBA",1992-2004
4047,2006.0,2012.07.27,LN-OOY F-WQDG,Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HIS,"F-WQDG, LN-OOY, OY-HIS Blue West Helicopters Greenland ApS, TF-AHH, PK-IWS, +10.09.25 Jila, Mimika Regency, Central Papua",2012-2022
2841175,1989.0,1989.10.12,Cancelled 2023.07.17,Piper PA-28-161 Cadet,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JED,"OY-JED, G-CMPH, N238FY",1989-2023
F17201116,1974.0,1974.05.16,Cancelled 2022.11.08,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYY,"OY-RYY, Bornholm Air Service ApS, Icebird, SX-GGA",1974-2022
