registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-WWW,Sportsman GS-2,Glasair Aviation LLC,2007,7137,1066.00,12.02.2019,Fly
LN-XAX,Falcon 7X,Dassault Aviation,2019,456,33112.00,16.10.2019,Fly
LN-XDP,Christen Eagle II,Tommy Nilsson,1981,0020-38,689.00,25.04.2008,Fly
LN-XIO,RV-4,"Van`s Aircraft, inc.",1989,432-403,680.00,06.07.2007,Fly
LN-XKY,Neico Aviation Inc. Lancair 235,Rolf Larsson,1991,102-590,655.00,11.11.2014,Fly
LN-XOT,Lancair 320,Lancair Aerospace ,1995,53-752,765.00,13.09.2011,Fly
LN-XTR,EA 300,Extra Flugzeugproduktions- und Vertriebs GmbH,1998,066,950.00,21.12.2007,Fly
LN-XXA,T206H,Textron Aviation Inc.,2001,T20608316,1720.00,03.10.2017,Fly
LN-XXD,8KCAB,American Champion Aircraft Corporation,2014,1154-2015,885.00,29.05.2017,Fly
LN-AAB,PA-18A-150,"Piper Aircraft, Inc.",,18-6458,794.00,05.09.2019,Fly
LN-AAC,PA-28-180,"Piper Aircraft, Inc.",1973,28-7305486,1112.00,04.02.2003,Fly
LN-AAE,175C,Textron Aviation Inc.,1962,175-57093,1111.00,02.03.1999,Fly
LN-AAG,PA-34-220T,"Piper Aircraft, Inc.",1995,3448070,1999.00,14.03.2000,Fly
LN-AAI,TU206G,Textron Aviation Inc.,1985,U206-06863,1633.00,08.06.2000,Fly
LN-AAK,Aviat Husky A-1A,Sky International Inc.,1999,1458,943.00,29.10.1999,Fly
LN-AAN,Glastar GS-1,Stoddard-Hamilton Aircraft Inc.,2003,5384,889.00,15.04.2015,Fly
LN-AAR,RV-4,"Van`s Aircraft, inc.",2012,1486,680.00,04.05.2012,Fly
LN-AAS,91A,SAAB-Scania AB,1947,91-128,1000.00,27.11.2003,Fly
LN-AAV,J3C-65,"Piper Aircraft, Inc.",1943,11615,553.00,23.08.2006,Fly
LN-AAX,RV-4,"Van`s Aircraft, inc.",2005,4041,680.00,23.08.2006,Fly
