registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-ONO,S-92A,Sikorsky Aircraft Corporation,2005,920012,12020.00,10.03.2005,Helikopter
LN-ONP,S-92A,Sikorsky Aircraft Corporation,2005,920025,12020.00,13.12.2005,Helikopter
LN-ONT,S-92A,Sikorsky Aircraft Corporation,2007,920070,12020.00,26.02.2008,Helikopter
LN-ONU,AS350B3,Airbus Helicopters,2024,9660,2250.00,29.11.2024,Helikopter
LN-ONV,S-92A,Sikorsky Aircraft Corporation,2008,920092,12020.00,21.06.2024,Helikopter
LN-ONW,S-92A,Sikorsky Aircraft Corporation,2008,920090,12020.00,05.11.2010,Helikopter
LN-ONY,S-92A,Sikorsky Aircraft Corporation,2010,920124,12020.00,26.08.2016,Helikopter
LN-OOA,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2020,21001,3800.00,30.09.2020,Helikopter
LN-OOB,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2014,20021,3800.00,22.12.2014,Helikopter
LN-OOO,MBB-BK117 D-2,Airbus Helicopters Deutschland GmbH,2017,20160,3700.00,28.11.2017,Helikopter
LN-OOR,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2018,20197,3800.00,07.03.2018,Helikopter
LN-OOT,MBB-BK117 D-2,Airbus Helicopters Deutschland GmbH,2018,20200,3700.00,20.03.2018,Helikopter
LN-OOU,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2018,20202,3800.00,16.04.2018,Helikopter
LN-OOV,EC135P3,Airbus Helicopters Deutschland GmbH,2014,1168,2980.00,31.07.2014,Helikopter
LN-OOX,MBB-BK117 D-2,Airbus Helicopters Deutschland GmbH,2018,20205,3700.00,26.04.2018,Helikopter
LN-OOZ,EC135P3,Airbus Helicopters Deutschland GmbH,2014,1170,2980.00,31.07.2014,Helikopter
LN-OPA,AW189,Leonardo S.p.A.,2025,49122,8600.00,16.12.2025,Helikopter
LN-OPL,AS332L1,Airbus Helicopters,2001,9002,8600.00,11.04.2019,Helikopter
LN-OPN,AS350B3,Airbus Helicopters,2006,4116,2250.00,19.07.2006,Helikopter
LN-OPP,R44 II,Robinson Helicopter Company,2004,10249,1134.00,28.07.2025,Helikopter
LN-OPR,205A-1,Bell Helicopter Textron,1975,30206,4309.00,12.03.2018,Helikopter
LN-OPS,R44 II,Robinson Helicopter Company,2018,14181,1134.00,17.04.2018,Helikopter
LN-OPV,AS350B2,Airbus Helicopters,1990,2378,2250.00,13.06.1995,Helikopter
LN-OPW,AS350B3,Airbus Helicopters,2006,4117,2250.00,19.07.2006,Helikopter
LN-OPX,AS332L1,Airbus Helicopters,2007,9009,8600.00,02.08.2007,Helikopter
LN-OQC,S-92A,Sikorsky Aircraft Corporation,2005,920018,12020.00,15.07.2005,Helikopter
LN-OQG,S-92A,Sikorsky Aircraft Corporation,2009,920095,12020.00,07.04.2009,Helikopter
LN-OQH,S-92A,Sikorsky Aircraft Corporation,2009,920097,12020.00,13.05.2009,Helikopter
LN-OQI,S-92A,Sikorsky Aircraft Corporation,2009,920098,12020.00,06.04.2009,Helikopter
LN-OQK,S-92A,Sikorsky Aircraft Corporation,2009,920117,12020.00,06.01.2010,Helikopter
LN-OQL,S-92A,Sikorsky Aircraft Corporation,2010,920132,12020.00,13.09.2010,Helikopter
LN-OQM,S-92A,Sikorsky Aircraft Corporation,2012,920186,12020.00,03.04.2013,Helikopter
LN-OQO,S-92A,Sikorsky Aircraft Corporation,2007,920060,12020.00,14.11.2019,Helikopter
LN-OQP,S-92A,Sikorsky Aircraft Corporation,2015,920253,12020.00,13.03.2015,Helikopter
LN-OQQ,S-92A,Sikorsky Aircraft Corporation,2017,920284,12020.00,08.09.2017,Helikopter
LN-OQR,S-92A,Sikorsky Aircraft Corporation,2017,920285,12020.00,01.08.2017,Helikopter
LN-OQS,S-92A,Sikorsky Aircraft Corporation,2016,920295,12020.00,20.11.2018,Helikopter
LN-OQT,S-92A,Sikorsky Aircraft Corporation,2015,920283,12020.00,12.03.2020,Helikopter
LN-OQU,S-92A,Sikorsky Aircraft Corporation,2014,920237,12020.00,23.12.2020,Helikopter
LN-OQV,S-92A,Sikorsky Aircraft Corporation,2011,920158,12020.00,04.03.2024,Helikopter
LN-OQX,S-92A,Sikorsky Aircraft Corporation,2012,920167,12020.00,27.01.2022,Helikopter
LN-OQY,S-92A,Sikorsky Aircraft Corporation,2012,920171,12020.00,25.02.2022,Helikopter
LN-ORA,AW169,Leonardo S.p.A.,2019,69089,4800.00,03.06.2019,Helikopter
LN-ORB,AW169,Leonardo S.p.A.,2019,69094,4800.00,03.06.2019,Helikopter
LN-ORC,AW169,Leonardo S.p.A.,2019,69096,4800.00,14.10.2019,Helikopter
LN-ORE,505,Bell Textron Canada Ltd.,2018,65080,1669.00,30.04.2025,Helikopter
LN-ORG,IAR 316B Alouette III,Airbus Helicopters,1973,11,2200.00,23.05.2008,Helikopter
LN-ORJ,AS350B1,Airbus Helicopters,1989,2212,2200.00,01.10.1993,Helikopter
LN-ORK,AS350BA,Airbus Helicopters,1979,1056,2100.00,10.09.1997,Helikopter
LN-ORO,AS350B3,Airbus Helicopters,2016,8229,2250.00,15.04.2016,Helikopter
LN-ORW,UH-1B,Bell Helicopter Textron,1964,64-13963,3856.00,30.08.1994,Helikopter
LN-OSI,BO105 S,Airbus Helicopters Deutschland GmbH,1982,S-609,2500.00,29.04.1988,Helikopter
LN-OSK,AS350B3,Airbus Helicopters,2023,9364,2250.00,21.04.2023,Helikopter
LN-OSM,AS350B2,Airbus Helicopters,2001,9041,2250.00,23.01.2017,Helikopter
LN-OSN,AS350B3,Airbus Helicopters,2008,4380,2250.00,29.02.2008,Helikopter
LN-OSR,EXEC 162F,Homebuilt,1998,6095,680.00,20.08.1999,Helikopter
LN-OSS,R44,Robinson Helicopter Company,2006,1617,1089.00,18.08.2006,Helikopter
LN-OTC,BO105 P,Messerschmitt-Bölkow-Blohm,1986,6124,2500.00,20.08.2020,Helikopter
LN-OTH,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2021,21026,3800.00,10.05.2021,Helikopter
LN-OTI,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2021,21050,3800.00,11.08.2021,Helikopter
LN-OTJ,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2021,21090,3800.00,16.12.2021,Helikopter
LN-OTK,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2024,21272,3800.00,18.03.2024,Helikopter
LN-OTL,206B,Bell Helicopter Textron,1968,234,1451.00,06.07.1998,Helikopter
LN-OTN,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2024,21284,3800.00,11.06.2024,Helikopter
LN-OTO,EC120B,Airbus Helicopters,1999,1034,1715.00,06.08.2008,Helikopter
LN-OTQ,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2024,21361,3800.00,19.12.2024,Helikopter
LN-OTS,MBB-BK117 D-3,Airbus Helicopters Deutschland GmbH,2025,21386,3800.00,23.04.2025,Helikopter
LN-OUD,EC135T3H,Airbus Helicopters Deutschland GmbH,2017,2029,2980.00,06.11.2017,Helikopter
LN-OUE,EC135T3H,Airbus Helicopters Deutschland GmbH,2017,2037,2980.00,13.12.2017,Helikopter
LN-OUF,EC135T3H,Airbus Helicopters Deutschland GmbH,2018,2046,2980.00,14.02.2018,Helikopter
LN-OUG,EC135T3H,Airbus Helicopters Deutschland GmbH,2018,2051,2980.00,04.04.2018,Helikopter
LN-OUH,EC135T3H,Airbus Helicopters Deutschland GmbH,2018,2055,2980.00,26.04.2018,Helikopter
LN-OUJ,EC135T3H,Airbus Helicopters Deutschland GmbH,2018,2056,2980.00,28.05.2018,Helikopter
LN-OUL,EC135T3H,Airbus Helicopters Deutschland GmbH,2024,2282,3100.00,30.01.2025,Helikopter
LN-OUM,EC135T3H,Airbus Helicopters Deutschland GmbH,2025,2290,3100.00,26.02.2025,Helikopter
LN-OUN,EC135T3H,Airbus Helicopters Deutschland GmbH,,2297,3100.00,27.02.2025,Helikopter
LN-OUS,Bell UH-1E,Bell Helicopter Textron,1967,6161,3855.00,18.05.2016,Helikopter
LN-OVA,AS350B3,Airbus Helicopters,2011,7149,2250.00,16.07.2013,Helikopter
LN-OVB,AS350B3,Airbus Helicopters,2015,8071,2250.00,01.04.2015,Helikopter
LN-OVE,AS350B3,Airbus Helicopters,2013,7605,2250.00,11.06.2013,Helikopter
LN-OVK,EC130B4,Airbus Helicopters,2004,3768,2427.00,13.05.2019,Helikopter
LN-OWE,AS350B3,Airbus Helicopters,2013,7578,2250.00,15.03.2013,Helikopter
LN-OWF,AS350B3,Airbus Helicopters,2013,7587,2250.00,11.04.2013,Helikopter
LN-OWG,AS350B3,Airbus Helicopters,2014,7858,2250.00,31.03.2014,Helikopter
LN-OWH,AS350B3,Airbus Helicopters,2016,8271,2250.00,29.06.2016,Helikopter
LN-OWK,EC130B4,Airbus Helicopters,2005,3935,2427.00,08.05.2019,Helikopter
LN-OXA,AS350B3,Airbus Helicopters,2007,4255,2250.00,31.05.2007,Helikopter
LN-OXB,AS350B3,Airbus Helicopters,2007,4258,2250.00,04.06.2007,Helikopter
LN-OXD,AS350B3,Airbus Helicopters,2007,4278,2250.00,02.07.2007,Helikopter
LN-OXF,AS350B3,Airbus Helicopters,2008,4105,2250.00,03.03.2014,Helikopter
LN-OXH,AW169,Leonardo S.p.A.,2017,69026,4800.00,15.06.2017,Helikopter
LN-OXI,AW169,Leonardo S.p.A.,2017,69030,4800.00,22.06.2017,Helikopter
LN-OXJ,AW169,Leonardo S.p.A.,2017,69035,4800.00,30.06.2017,Helikopter
LN-OXK,AW169,Leonardo S.p.A.,2026,69203,4800.00,10.02.2026,Helikopter
LN-OXO,AS350B3,Airbus Helicopters,2022,9241,2250.00,29.06.2022,Helikopter
LN-OXP,AS350B3,Airbus Helicopters,2023,9362,2250.00,28.03.2023,Helikopter
LN-OXQ,AS350B3,Airbus Helicopters,2023,9363,2250.00,28.03.2023,Helikopter
LN-OYA,EXEC 162F,RotorWay Helicopter MFG. CO.,2010,6994,680.00,22.06.2010,Helikopter
LN-OYB,AS350B3,Airbus Helicopters,2003,3673,2250.00,06.08.2009,Helikopter
LN-OYC,AS350B3,Airbus Helicopters,2003,3674,2250.00,03.11.2009,Helikopter
LN-OYE,AS350B3,Airbus Helicopters,2025,9763,2250.00,16.05.2025,Helikopter
LN-OYF,AS350B3,Airbus Helicopters,2025,9773,2250.00,09.07.2025,Helikopter
LN-OYG,205A-1,Bell Helicopter Textron,1970,30083,4309.00,07.06.2011,Helikopter
LN-OYI,AS350B3,Airbus Helicopters,2025,9793,2250.00,28.07.2025,Helikopter
LN-OYJ,AS350B3,Airbus Helicopters,2025,9808,2250.00,05.09.2025,Helikopter
LN-OYK,R44 II,Robinson Helicopter Company,2007,11884,1134.00,20.05.2019,Helikopter
LN-OYL,EC120B,Airbus Helicopters,2000,1109,1715.00,25.06.2019,Helikopter
LN-OYN,AS350B3,Airbus Helicopters,2026,9882,2250.00,22.01.2026,Helikopter
LN-OYO,AS350B3,Airbus Helicopters,2026,9896,2250.00,03.03.2026,Helikopter
LN-OYY,EC120B,Airbus Helicopters,2008,1562,1715.00,28.08.2008,Helikopter
LN-OZA,AS350B3,Airbus Helicopters,2016,8199,2250.00,25.08.2025,Helikopter
LN-OZC,R44 II,Robinson Helicopter Company,2006,11520,1134.00,27.11.2006,Helikopter
LN-OZD,R44,Robinson Helicopter Company,2007,1730,1089.00,28.03.2019,Helikopter
LN-OZG,EC135T2+,Airbus Helicopters Deutschland GmbH,2004,0341,2910.00,16.02.2021,Helikopter
LN-OZM,R44,Robinson Helicopter Company,2008,1989,1089.00,16.04.2019,Helikopter
LN-OZT,R44,Robinson Helicopter Company,2025,30104,998.00,17.07.2025,Helikopter
LN-OZY,R44 II,Robinson Helicopter Company,2015,13800,1134.00,17.04.2015,Helikopter
LN-OZZ,R44 II,Robinson Helicopter Company,2007,11730,1134.00,14.05.2007,Helikopter
LN-OAA,SA 313B,"Johansen, Kåre Jan",1959,KJJ001,1600.00,03.01.2020,Helikopter
LN-PAP,"Arion Aircraft, Lightning",Per Frithjof Pfeffer,2016,156,700.00,18.05.2015,Fly
LN-PER,T207A,Textron Aviation Inc.,1977,207-00370,1814.00,06.10.2011,Fly
LN-PFA,DA 40 NG,"Diamond Aircraft Industries, Inc.",2018,40.NC015,1310.00,29.06.2018,Fly
LN-PFB,DA 40 NG,"Diamond Aircraft Industries, Inc.",2018,40.NC016,1310.00,29.06.2018,Fly
LN-PFD,DA 42 NG,Diamond Aircraft Industries GmbH,2019,42.N366,1999.00,07.05.2019,Fly
LN-PFE,DA 42 NG,Diamond Aircraft Industries GmbH,2019,42.N367,1999.00,13.05.2019,Fly
LN-PFF,DA 42 NG,Diamond Aircraft Industries GmbH,2019,42.N368,1999.00,11.06.2019,Fly
LN-PFG,DA 42 NG,Diamond Aircraft Industries GmbH,2019,42.N369,1999.00,11.06.2019,Fly
LN-PFH,DA 40 NG,Diamond Aircraft Industries GmbH,2019,40.N412,1310.00,27.05.2019,Fly
LN-PFK,DA 40 NG,Diamond Aircraft Industries GmbH,2019,40.N415,1310.00,17.06.2019,Fly
LN-PFL,DA 42 NG,Diamond Aircraft Industries GmbH,2019,42.N374,1999.00,26.08.2019,Fly
LN-PFN,DA 42 NG,Diamond Aircraft Industries GmbH,2020,42.N256,1999.00,22.10.2020,Fly
LN-PFX,Harvard 4,Canadian Car and Foundry CO,1952,CCF4-194,2605.00,26.08.2016,Fly
LN-PIP,112TC,"CPAC, Inc.",1976,13002,1293.00,05.01.2012,Fly
LN-PLO,RC-3,Republic Aviation Corporation,1947,813,1429.00,01.07.2010,Fly
LN-PMN,DA20-C1,"Diamond Aircraft Industries, Inc.",2006,C0365,750.00,27.07.2006,Fly
LN-PNB,PA-31,"Piper Aircraft, Inc.",1970,31-609,3100.00,15.03.2012,Fly
LN-PST,DH-82A,DeHavilland Aircraft Co. LTD,,86320,828.00,12.02.2025,Fly
LN-PWA,172R,Textron Aviation Inc.,1997,172-80168,1134.00,02.10.1997,Fly
LN-RAF,RV-4,"Undheim, Karl",1991,1553,680.00,07.05.1992,Fly
LN-RAL,F172H,Textron Aviation Inc.,1970,F172-0676,1043.00,20.03.1989,Fly
LN-RAP,L-4J,"Piper Aircraft, Inc.",1944,12583,553.00,24.06.1992,Fly
LN-RAR,Bellanca 7GCBC,American Champion Aircraft Corporation,1980,1209-80,816.00,27.06.1984,Fly
LN-RBI,J3C-65,"Piper Aircraft, Inc.",1998,12640,553.00,03.02.1997,Fly
LN-RDY,DHC-8-402,De Havilland Aircraft of Canada Limited,2002,4062,29574.20,09.03.2012,Fly
LN-RDZ,DHC-8-402,De Havilland Aircraft of Canada Limited,2002,4063,29574.20,29.03.2012,Fly
LN-REB,PL4-A,Pazmany Aircraft Corporation,1992,682,385.00,20.07.2012,Fly
LN-RED,R2160,Alpha Aviation Manufacturing Ltd,1994,271,900.00,04.12.2012,Fly
LN-REV,Lancair 360 MKII,Lancair International ,2018,816,812.00,28.09.2018,Fly
LN-RFK,172S,Textron Aviation Inc.,2000,172S8641,1157.00,23.06.2011,Fly
LN-RGL,A320-251N,Airbus,2016,7290,77000.00,24.10.2016,Fly
LN-RGM,A320-251N,Airbus,2016,7277,77000.00,12.12.2016,Fly
LN-RGN,A320-251N,Airbus,2016,7341,77000.00,05.12.2016,Fly
LN-RGO,A320-251N,Airbus,2016,7352,77000.00,19.12.2016,Fly
LN-RHV,RV-4,"Van`s Aircraft, inc.",2004,656,680.00,29.09.2008,Fly
LN-RIS,AG-5B,True Flight Holdings LLC,1992,10107,1089.00,03.06.2013,Fly
LN-RKG,A340-313,Airbus,2001,424,275000.00,30.11.2001,Fly
LN-RKM,A330-343,Airbus,2002,496,233000.00,16.10.2012,Fly
LN-RKN,A330-343,Airbus,,568,233000.00,13.11.2012,Fly
LN-RKO,A330-343,Airbus,2003,0515,233000.00,11.01.2013,Fly
LN-RKR,A330-343,Airbus,2015,1660,242000.00,17.09.2015,Fly
LN-RKS,A330-343,Airbus,2015,1665,242000.00,28.09.2015,Fly
LN-RKT,A330-343,Airbus,2016,1697,242000.00,29.01.2016,Fly
LN-RKU,A330-343,Airbus,2016,1715,242000.00,07.04.2016,Fly
LN-RME,VP-mk2,Evans Aircraft Company,,V2-1147,500.00,03.10.2008,Fly
LN-RNO,737-700,The Boeing Company,2000,28316,64999.00,13.10.2005,Fly
LN-RPJ,737-700,The Boeing Company,2000,30192,64999.00,03.03.2000,Fly
LN-RRR,680A,Textron Aviation Inc.,2025,0433,13970.00,04.06.2025,Fly
LN-RTB,PA-19,"Piper Aircraft, Inc.",1951,18-1593,680.00,09.07.1969,Fly
LN-RTH,PA-18-105,"Piper Aircraft, Inc.",1951,18-1408,680.00,13.06.1983,Fly
LN-RTK,AA-5A,Gulfstream American Corporation,1978,AA5A-0766,999.00,18.01.2021,Fly
LN-RTO,Falcon 2000EX,Dassault Aviation,2017,334,19414.00,29.08.2017,Fly
LN-RVA,RV-4,"Van`s Aircraft, inc.",1998,2714,680.00,14.04.2021,Fly
LN-RVK,PA-31-350,"Piper Aircraft, Inc.",1984,31-8452004,3342.00,25.03.2022,Fly
LN-RVL,SR 22T,Cirrus Design Corporation,2011,150,1542.00,07.06.2011,Fly
LN-RVS,RV-7,"Van`s Aircraft, inc.",2010,72595,862.00,24.03.2010,Fly
LN-RWN,AERO Vodochody / L-29 Delfin,Aero Vodochody a.s.,1969,893019,3550.00,12.06.2018,Fly
LN-RAA,182P,Textron Aviation Inc.,1973,182-62731,1338.00,10.01.1986,Fly
LN-SAC,T337G,Textron Aviation Inc.,1974,P337-0169,2130.00,29.08.1974,Fly
LN-SAD,MFI-15-200A,SAAB-Scania AB,1977,15.814,1200.00,10.06.1983,Fly
LN-SAE,A320-251N,Airbus,2026,13090,77000.00,12.03.2026,Fly
LN-SAI,L-4J,"Piper Aircraft, Inc.",1944,12579,531.00,18.03.1982,Fly
LN-SAL,91B,SAAB-Scania AB,1954,91-286,1165.00,17.04.2024,Fly
LN-SAM,91B-2,SAAB-Scania AB,1957,91-342,1215.00,29.11.1982,Fly
LN-SAN,T206H,Textron Aviation Inc.,2025,T206-9800,1724.00,08.04.2025,Fly
LN-SAO,91B-2,SAAB-Scania AB,1957,91-344,1215.00,16.11.1984,Fly
LN-SAP,91B-2,SAAB-Scania AB,1957,91-333,1215.00,03.02.1997,Fly
LN-SAS,PZL-Koliber 150,"EADS PZL ""Warszawa-Okecie"" S.A.",1988,19005,850.00,22.06.1994,Fly
LN-SBA,RV-14A,"Van`s Aircraft, inc.",2023,140559,930.00,08.03.2023,Fly
LN-SDB,8KCAB,American Champion Aircraft Corporation,2008,1068-2008,885.00,26.04.2012,Fly
LN-SEA,T206H,Textron Aviation Inc.,2015,T20609186,1724.00,19.11.2015,Fly
LN-SFA,YAK-50,A.S. Yakovlev Design Bureau,1983,832409,910.00,25.07.2017,Fly
LN-SFK,182M,Textron Aviation Inc.,1969,182-59952,1270.00,27.03.1990,Fly
LN-SIA,S-1A,Interstate Aircraft and Engineering Corporation,1942,220,544.00,06.04.2022,Fly
LN-SKJ,Europa XS,Europa Aircraft,2006,A225,658.00,11.09.2007,Fly
LN-SLK,Slick 360,Selwyn Levin,2006,360-0605,775.00,18.06.2014,Fly
LN-SMB,RV-8,"Van`s Aircraft, inc.",2012,82240,816.00,14.06.2011,Fly
LN-SMF,DA 42 NG,Diamond Aircraft Industries GmbH,2022,42.N466,1999.00,06.10.2022,Fly
LN-SMT,TB 20,SOCATA,1988,761,1400.00,09.03.2006,Fly
LN-SNX,Sonex A,Sonex LLC,2023,1571,522.00,07.08.2023,Fly
LN-STB,BD100-1A10,Bombardier Inc.,2016,20639,18416.00,12.09.2016,Fly
LN-STC,F156A-1,Fieseler Werke Gmbh,1944,2088,1490.00,07.02.2019,Fly
LN-STE,Europa XS,Europa Aircraft,2006,556,658.00,01.06.2007,Fly
LN-STF,CF-104D,Bombardier Inc.,1963,104637,13171.00,11.02.2013,Fly
LN-SUZ,B200,Textron Aviation Inc.,1996,BB-1547,5670.00,10.04.2003,Fly
LN-SXY,Lancair 360,Neico Aviation Inc,1993,630,807.00,22.03.1994,Fly
LN-SAA,680A,Textron Aviation Inc.,2018,680A0155,13970.00,15.05.2019,Fly
LN-TBL,TB 10,SOCATA,1992,1449,1150.00,19.10.2011,Fly
LN-TBM,TBM700 B,SOCATA,1998,137,2984.00,08.02.2022,Fly
LN-TBN,Christen Eagle II,MPL Aviation LT,1991,S308,725.00,18.06.2021,Fly
LN-TED,U206F,Textron Aviation Inc.,1973,U20602173,1633.00,19.07.2022,Fly
LN-TEI,Falco F.8L,Kim L. Mitchell,1998,1144,820.00,30.11.2016,Fly
LN-TEK,U206F,Textron Aviation Inc.,1975,U206-02858,1633.00,07.11.1986,Fly
LN-TEP,U206G,Textron Aviation Inc.,1979,U206-05186,1633.00,24.09.1979,Fly
LN-TER,208B,Textron Aviation Inc.,2020,208B5594,3969.00,17.04.2020,Fly
LN-TET,J3C-65,"Piper Aircraft, Inc.",1946,18020,553.00,08.03.1982,Fly
LN-TEX,T-6G,North American Aviation Inc.,1944,14A-2268,2404.00,03.08.1979,Fly
LN-TFA,200,Textron Aviation Inc.,1981,BB-797,5670.00,19.12.2022,Fly
LN-TFK,172S,Textron Aviation Inc.,2004,172S9591,1157.00,23.06.2011,Fly
LN-TFQ,PA-28-181,"Piper Aircraft, Inc.",1999,2843265,1157.00,10.08.1999,Fly
LN-TFS,PA-28-181,"Piper Aircraft, Inc.",1999,2843273,1157.00,18.10.1999,Fly
LN-TFU,PA-28-181,"Piper Aircraft, Inc.",1999,2843285,1157.00,16.11.1999,Fly
