registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-UPM,Boeing 727-31C,"19229
390",1967,1996-2002,B723,"N890TW, N923UP, OY-UPM Star Air, United Parcel Service, N923UP, Roswell 2004, broken up."
OY-UPT,Boeing 727-22CA,"19094
295",1966,1993-2002,B722,"N7406U, HK-2475, N422EX, N945UP, OY-UPT Star Air, United Parcel Service, N945UP, cancelled 2008, stored Roswell"
OY-VIP(2),Cessna 500 Citation,500-0294,1976,2001-2004,C500,"N5294J, HL7226, (N501LG), N924AS, SE-DVB, OY-VIP Scandinavian Trading Company, OE-FCM, N468PD, broken up in 2018"
OY-VKU,Airbus A320,,2003,,A320,
OY-VKW,Airbus A320,,2003,,A320,
OY-YAK,Yakovlev Yak-52,899408,1989,1995,YK52,"20 yellow, RA-01364, OY-YAK"
OY-CYF,Piper PA-28-140  Cruiser,28-7625122,1976,1990,P28A,"N8523C, OY-CYF"
OY-CYK,Cessna 172N Skyhawk,17272201,1979,,C172,"N8443E, (OY-CYK), N8443E, LN-MTH"
OY-CYP,Piper PA-25-235  Pawnee C,25-4760,1968,1990,PA25,"CS-AIV, G-BDCT, OY-CYP"
OY-CYS,Polliwagen,8607-1794N,1990,"1990-1990
1992-2000",POLI,"OY-8607, OY-CYS, (havareret) 1990, genopbygget, slettet som  protest, Danmarks Flyvemuseum"
OY-CYU,Rand-Robinson KR-2,6513,1995,1995-,KR2,"OY-8306, OY-CYU"
OY-CYW,Lake LA-4-200 Buccaneer,918,1978,1989-1993,LA4,"N2795P, OY-CYW ""Aasiaq""/""Edderkoppen"", 
crashed 30.9.1991 Jakobshavn"
OY-CYY,Piper PA-25-235  Pawnee B,25-4018,1966,1990,PA25,"N10F, N4502Y, OH-PIK, G-AXFD, OY-CYY ""Udyret"", damaged 26.7.1990 Arnborg (EKAB), damaged 7.7.2023 at Arnborg (EKAB)"
OY-DAB,KZ IIIU-2,82,1946,1946,KZ3,
OY-DAC,Fokker F.VIIa,5058,1927,1929-1933,,"T-DOLB, OY-DAC, DDL, crashed 2.5.1933 Hannover, Germany"
OY-DAD,Fokker F.VIIa,5053,1928,1930-1946,,"CH-158, OY-DAD, DDL ""Rønne"", SE-ASF, broken up 8.11.1952"
OY-DAE,KZ IIIU-2,87,1946,"1946-1958 
1959-2003",KZ3,"OY-DAE, D-EHYC, OY-DAE, compulsory cancellation"
OY-DAF,Farman F.121 Jabiru,44,1926,,,"T-DOXF DDL ""København"", (OY-DAF), broken up 1931"
OY-DAH,de Havilland D.H.60G Moth Major,5066,1934,1934-1939,DH60,Stolen by German occupation troops 1943.
OY-DAI,Piper PA-23-160  Apache G/Geronimo,23-1888,1960,1960-1983,PA23,"OY-DAI, conv. to Geronimo  1979, N4449N, N92RS"
OY-DAJ,Fokker F.XIIM  (Orlogsværftet),87,1935,1935-1947,,"DDL ""Kronprinsesse Ingrid"", broken up Kastrup 1947"
OY-DAK (1),Miles M.2 Hawk,8,1933,1935-1935,M2HK,"G-ACJC, OY-DAK, crashed 20.4.1935 Dronningmølle"
OY-DAL,Junkers Ju 52/3m,5610,1935,1936-1943,,"""Selandia"", crashed 18.12.1942 Vienna, Austria"
OY-DAM,Focke-Wulf Fw 200A-02 Condor,2894,1938,1938-1940,,"OY-DAM ""Dania"", G-AGAY ""Wolf"", (DX177), crashed 12.7.1941 White Waltham"
OY-DAN,Bruxelles Demuyter,,,,,"T-DANA, (OY-DAN)"
OY-DAN,KZ II Kupe,3,1937,1938-1940,KZ2,Nordisk lufttrafik. Stolen by German occupation troops 1943.
OY-DAO,Piper J2C-40 Cub (Lundtofte),1155,1938,1938-1940,J2,Stolen by German occupation troops 1943.
OY-DAR,KZ II Kupe,6,1938,1938-1940,KZ2,"Sportsflyveklubben ""Doggen"". Stolen by German occupation troops 1943."
OY-DAS,de Havilland D.H.89A Dragon Rapide,6347,1937,1955-1956,DH89,"OH-BLA, OH-VKH, OH-DHA, OY-DAS, D-IGEL, broken up 1972"
OY-DAT,Piper J3C-40 Cub (Lundtofte),1998,1939,1939-1943,J3,Stolen by German occupation troops 1943.
OY-DAU,KZ II Sport,11,1939,1939-1944,KZ2,"OY-DAU, SE-APU, crashed 30.7.1946 Juniskar, Sundsvall, Sweden"
OY-DAV,Piper J-4A-C65 Cub Coupe (Lundtofte),4-565,1939,1939-1940,J4,Stolen by German occupation troops 1943.
OY-DAW,Wassmer/Jodel D.120,175,1960,1960-1973,D11,Crashed 30.8.1972 Wales
OY-DBB,Champion 7FC Tri-Traveler,7FC-454,1961,,CH7A,"N9922Y, (OY-DBB), OY-DBM"
OY-DBC,Stampe S.V.4B,1204,1955,1988,SV4,"V-62 (Force Aérienne Belge), OY-DBC, Dansk Veteranflysamling"
OY-DBK,Cessna 150L,15072077,1972,1993,C150,"XB-NUA, XC-FUQ, XB-CXY, OY-DBK"
OY-DBU,KZ IIIU-2,83,1946,1946-1952,KZ3,Destroyed by fire 23.8.1951 Nakskov
OY-DCB,Piper PA-22-150  Tri-Pacer,22-5233,1957,1964,PA22,"N7506D, OY-DCB"
OY-DCH,Cessna 172,28858,1956,1964-1984,C172,"N6758A, SE-CMN, OY-DCH, WFU 1984"
OY-DCI,Douglas DC-3A (C-53-DO),7330,1942,1946-1948,DC3,"42-15535, OY-DCI DDL ""Sejr Viking"". Crashed 12.2.1948 Ulrichstein, Germany"
OY-DCN,Beagle A.109 Airedale,B.539,1963,1964-1971,AIRD,Crashed 7.8.1971 Ikast
OY-DCO,Douglas DC-3D (C-117),42962,1946,1946-1957,DC3,"NC34966, OY-DCO DDL, SAS ""Tor Viking"", ""Orm Viking"", SE-CFT, OY-DNC Faroe Airways, N4296, destroyed by fire 15.4.1969 Coventry-Baginton, UK"
OY-DCP,Beech 95-A55 Baron,TC-492,1963,1963-1967,BE55,"N706L, OY-DCP, HB-GFB, F-BVTZ"
OY-DCR,Piper PA-22-150  Tri-Pacer,22-7469,1960,1964,PA22,"N3558Z, G-ARES, OY-DCR"
OY-DCS,Piper PA-25-235 Pawnee,25-2596,1964,1964-1970,PA25,"OY-DCS, SE-FPX, D-EFPX, PH-LAT,"
OY-DCT,Piper PA-25-235 Pawnee,25-2597,1964,1964-1970,PA25,"OY-DCT, SE-FPU, crashed 4.6.1971"
OY-DCV,Piper PA-22-108 Colt,22-9133,1961,1964,PA22,"(SE-CZN), OY-DCV"
OY-DCZ,Cessna 185C Skywagon,185-0760,1964,"1964-1979 
1979-1985",C185,"N5860T, OY-DCZ. Damaged 14.7.1978 Lake Ferguson, Søndre Strømfjord, Greenland. N185PT"
OY-DDA,Douglas C-47A-35-DL,9664,1943,XXX,DC3,"42-23802, LN-IAP, 68-681, K-681, ""OY-DDA Sven  Viking"", Danmarks Flyvemuseum"
OY-DDA,Douglas DC-4 Skymaster,42931,1946,(1946),DC4,"(OY-DDA), OY-DFI  DDL, SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM. Withdrawn from use, broken up"
OY-DDB,Piper PA-25-235 Pawnee,25-2635,1964,1966-1970,PA25,"SE-EIF, OY-DDB, SE-FPZ, SX-AGV"
OY-DDC,Gardan GY-80  Horizon 180,132,1965,1966-1968,GY80,Crashed 31.7.1967 Hoven
OY-DDE,Douglas DC-4 Skymaster,"42987
41",1946,(1946),DC4,"N8248Q, (OY-DDE), OY-DFO DDL, SAS ""Rolf Viking"", OO-SBL, KX-2/OT-CWV, (LN-TUR), G-AZSI, Stansted Fire School 1977"
OY-DDF,Gardan GY-80  Horizon 180,186,1966,1966,GY80,
OY-DDG,Gardan GY-80  Horizon 160,173,1966,1966-1972,GY80,"OY-DDG, SE-FTZ"
OY-DDH,Piper PA-30-160 Twin Comanche,30-113,1963,1968-2002,PA30,"N7142Y, OE-FPA, OY-DDH, N40VM"
OY-DDI,Douglas DC-3A   (C-47A-25-DK),13727,1944,1946-1951,DC3,"42-93778, KG726, OY-DDI DDL ""Roar Viking"", N9986F, CC-CLDN, CC-CBS, broken up 1979 Bahia de los Reyes"
OY-DDJ,Champion 7GCAA Citabria,97,1966,1966,CH7B,
OY-DDK,Cessna 150B,15059579,1962,1966-1980,C150,"N1179Y, SE-EAG, OY-DDK, crashed 19.3.1976 Obbekær"
OY-DDL,Mooney M.20C Mark 21,2920,1965,1966,M20P,"N79805, OY-DDL"
OY-DDN,Piper PA-22-150 Tri-Pacer,22-7506,1960,1966-1976,PA22,"OE-DAN, OY-DDN, crashed 12.8.1972 Skovlunde"
OY-DDO,Douglas DC-3A (C-47A-90-DL),20453,1944,1946-1948,DC3,"43-15987, OY-DDO DDL ""Odd Viking"", EI-AFB, VR-TBT, G-APPO, broken up 1967 Luton"
OY-DDP,Reims Cessna F.172G Skyhawk,F1720200,1965,1966-1994,C172,"N8072Z, OY-DDP, crashed 11.3.1991 NV Lilleø, Letten Grund"
OY-DDS,Mooney M.20E Super 21,1199,1966,"1967-1980 
1981-1991",M20P,"(N9250M), OY-DDS, G-BHPC, OY-DDS, SE-KSP"
OY-DDU,Douglas DC-3A (C-47A-80-DL),19865,1944,1946-1949,DC3,"43-15399, OY-DDU DDL ""Leif Viking"", F-BFGM, broken up 1969 Dinard"
OY-DDV,Klemm Kl 107B,107,1959,1966-1972,KL07,"D-EFEW, SE-CHE, OY-DDV, broken up 1972 Herning"
OY-DDW,Gardan GY-80  Horizon 180,172,1966,1966-1981,GY80,Damaged in a storm 19.4.1980 Skovlunde
OY-DDZ,SOCATA MS.880B Rallye Club,846,1967,1967-1967,RALL,Crashed 15.5.1967 Allerød
OY-DEC,Farman F.121 Jabiru,6,1925,,,"T-DOXB, DDL, (OY-DEC), broken up 1931"
OY-DEF,de Havilland D.H.60X Moth,416,1927,1929-1929,DH60,"G-EBSI, T-DALF, OY-DEF crashed 21.5.1929 Vejle"
OY-DEG,de Havilland D.H.60M Gipsy Moth,1402,1929,1931-1932,DH60,"G-AALF, SE-..., OY-DEG, crashed 2.10.1932 Sønderborg"
OY-DEK,Miles M.2F Hawk Major,170,1933,1935-1938,M2HK,Crashed 9.1938. (Engine to OY-ACE)
OY-DEJ,KZ IIIU-2,54,1946,1965,KZ3,"OY-DHI, D-EDUD, OY-DEJ"
OY-DEI,Miles M.2 Hawk,107,1934,1935-1937,M2HK,"G-ACVP, OY-DEI, crashed 10.10.1936 Kastrup"
OY-DEL,Avro 504N,,1920,1936-1939,,"H2023, 104 (L.B.I), 112 (L.B.II), OY-DEL. Stolen by German occupation troops 1943."
OY-DEM,Focke-Wulf Fw 200A-05 Condor,2993,1938,1938-1947,,"DDL ""Jutlandia"", crashed 4.9.1946 Northolt, England"
OY-DEO,Piper J2C-40 Cub (Lundtofte),1162,1938,1938-1938,J2,"OY-DEO, OO-DEO, cancelled 1962"
OY-DEP,Piper J2C-40 Cub (Lundtofte),1316,1938,1938-1939,J2,"NC17882, OY-DEP. Stolen by German occupation troops 1943."
OY-DER,KZ II Kupe,9,1939,1939-1939,KZ2,"Sportsflyveklubben København, Crashed 25.6.1939 Kastrup"
OY-DES,Piper J3C-50 Cub (Lundtofte),2535,1939,1939-1943,J3,Stolen by German occupation troops 1943.
OY-DEU,Scintex CP.301C Emeraude,516,1959,1964,CP30,"F-BJFD, OY-DEU"
OY-DEV,Fokker F.VIIa,4990,1927,1939-1941,,"H-NADP, H-NADR, PH-ADR, PH-OTO, 
PH-ALY, OY-DEV, FE-2 Red Cross - Finland"
OY-DEY,Scintex CP.301C.2 Emeraude,587,1961,1965,CP30,"OH-EMB, OY-DEY"
OY-DEZ,de Havilland D.H.87B Hornet Moth,8040,1935,"1940-1942 
1974",DH87,"VR-RAI, OY-DEZ, SE-ALD, G-AMZO, OY-DEZ, Dansk Veteranflysamling"
OY-DFF,SOCATA MS.880B Rallye Club,1124,1967,1967-2003,RALL,LDB. udl.
OY-DFH,CAJO 59,1,1967,1968-1968,,"OY-DFH, D-GDFH"
OY-DFI,Douglas DC-4-1009 Skymaster,42931,1946,1946-1956,DC4,"(OY-DDA), OY-DFI  DDL/SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM, wfu, broken up"
OY-DFJ,SOCATA MS.880B Rallye Club,1149,1967,1968-1972,RALL,Crashed 23.8.1971 Egeskov
OY-DFN,SOCATA MS.880B Rallye Club,1159,1967,1968-1975,RALL,Crashed 24.9.1970 Kollund
OY-DFO,Douglas DC-4-1009 Skymaster,"42987
41",1946,1946-1954,DC4,"N8248Q, (OY-DDE), OY-DFO DDL/SAS ""Rolf Viking"", OO-SBL, KX-2/OT-CWV, (LN-TUR), G-AZSI, Stansted Fire School 1977"
OY-DFR,Douglas DC-7,"44144
468",1954,1967-1972,DC7,"N323AA, N323A, OY-DFR Conair, flown to a field in Thisted 16.12.1971. Broken up 1984"
OY-DFV,Hawker Siddeley H.S.748-200,1535,1961,1967-1971,A748,"G-ARAY, YV-C-AMC, G-ARAY,PP-VJQ, G-ARAY, VP-LIO, G-ARAY, PI-C784, G-11, OY-DFV Falck Flyvetjeneste, Maersk,  G-ARAY, broken up 1990 Lasham"
OY-DFW,SOCATA MS.880B Rallye Club,1137,1967,1967-1973,RALL,Crashed 19.1.1970 Herning
OY-DFY (2),Boeing 377-10-28 Stratocruiser,15944,,(1947),,"(OY-DFY) DDL, G-ALSB, N103Q, N408Q, broken up"
OY-DFY (1),Junkers Ju 52/3m,641207?,,,,"(OY-DFY, ""Trym Viking""), broken up 1949 Kastrup"
OY-DFY (3),Douglas DC-4 Skymaster,42926,1946,1950-1954,DC4,"SE-BBC, OY-DFY SAS ""Sigvard Viking"", Fuerza Aerea Colombiana 690. On display af Colombia Air Force museum, Eldorado, Bogota"
OY-DFZ,SOCATA MS.880B Rallye Club,1117,1967,1968-1981,RALL,"LN-LGA, OY-DFZ, CofA expired 1978"
OY-DGA,Auster J/1 Autocrat,1846,1945,1946-1946,J1,"Crashed in a collision with   Hawk Trainer G-AGVW 21.4.1946 Kalveboderne, København"
OY-DGB,Cessna 150A,15059166,1961,1965-1968,C150,"N7066X, SE-CXR, OY-DGB, SE-CYO"
OY-DGC,SOCATA MS.880B Rallye Club,852,1967,1967-1971,RALL,Damaged in a storm 18.10.1967 Randers
OY-DGE,Auster J/1 Autocrat,1890,1946,1946-1959,J1,Crashed 25.10.1950 Hvidovre
OY-DGI,Auster J/1 Autocrat,1891,,,J1,"(OY-DGI), (LN-BAO), LN-DAO, (havareret) 28.7.1965, genopbygget med dele fra svensk Auster, havareret 12.5.1973 Rognan"
OY-DGI,Auster J/1 Autocrat,2010,1946,1946-1989,J1,"G-AHHG, OY-DGI, crashed 31.8.1988 Klim, Hanherred"
OY-DGK,de Havilland D.H.114 Heron 2B,14050,1954,"1966-1967, 
1968-1970",HERN,"SA-R5, G-APRK, (PH-VLC), (PH-VLB), PH-VLA, G-APRK, OY-DPN, G-APRK, OY-DGK, G-APRK, 5N-AGM, G-APRK, OY-DGK, G-APRK, CF-FZR-X (ST-27/003), C-FFZR, HK-1299 cancelled, acquired by the Canadian Museum of Flight and Transportation, Langley, British Columbia, Canada"
OY-DGL,Morane MS.885 Super Rallye,94,1962,1967-1967,RALL,"SE-CML, OY-DGL, damaged in storm 17.10.1967  Tune"
OY-DGM,Zlin Z-326 Trener Master,917,1966,1966-1968,Z26,Crashed 22.9.1968 Knivholt
OY-DGO,Auster J/1 Autocrat,1958,1946,,J1,"(OY-DGO), (LN-BAP), LN-DAP, crashed 14.2.1947 Risør, Norway"
OY-DGO,Auster J/1 Autocrat,2009,1946,1946-1956,J1,"G-AHHF, OY-DGO, D-EDIV, crashed 25.9.1963"
OY-DGS,de Havilland D.H.114 Heron 1,10903,1950,1966-1973,HERN,"G-ALZL, LN-BDH, G-ALZL, OY-DGS Cimber Air, VH-CJS. Withdrawn from use Jandakot 1976. Aviation Heritage Museum, Bull Creek, Western Australia 1986"
OY-DGU,Auster J/1 Autocrat,2031,1946,"1946-1957 
19..",J1,"OY-DGU Sportsflyveklubben ""Den standhaftige Tinsoldat"", D-ENIT, OY-DGU"
OY-DGV,KZ IIIU-2,47,1946,1968,KZ3,"SE-APT, OY-DGV"
OY-DGW,Cessna 172A,46850,1959,1965-1979,C172,"N11B, N7250T, SE-CNT, OY-DGW, crashed 8.7.1972 Ejstrupholm"
OY-DGY,Auster J/1 Autocrat,2025,1946,1946,J1,
OY-DGZ,KZ III,45,1944,,KZ3,"SE-ANY, (OY-DGZ), SE-ANY Danmarks 
Flyvemuseum"
OY-DGZ,Piper PA-23-250  Aztec E,27-7305101,1973,1974-1980,PA27,"N40286, OY-DGZ, G-BHXX, crashed 11.5.1986 Lydd, Kent"
OY-DHA,KZ IIIU,48,1946,1946-1946,KZ3,"OY-DHA, LN-DAN, damaged 17.8.1948 Horten, damaged 1.7.1958 Jarlsberg. Cancelled 1965. Fuselage used to repare  OY-DVI"
OY-DHC,Piper J3C-65 Cub (L-4J),13173,1944,1973,J3,"45-4433, HB-OSC, D-EBER, OY-DHC"
OY-DHD,Piper PA-28-140 Cherokee,28-24829,1968,1969,P28A,"LN-LMQ, OY-DHD"
OY-DHE,de Havilland D.H.114 Heron 2D,14129,1958,(1969),HERN,"XM295, G-41-2-68, (OY-DHE), CF-XOK, CF-XOK-X, (ST-27 c/n 002), C-FXOK, broken up 1986"
OY-DHH,C.E.A. DR.250/160 Capitaine,46,1966,1969-1980,D250,"F-BNJL, OY-DHH, TF-ULF, TF-ULE, crashed 7.7.1984 Selfoss"
OY-DHI,KZ IIIU,54,1946,1946-1956,KZ3,"OY-DHI, D-EDUD, OY-DEJ"
OY-DHO,KZ IIIU-2,68,1946,1946-1953,KZ3,Crashed 1.2.1953 Yding Skovhøj
OY-DHR,Reims Cessna FR.172F Rocket,FR172F0093,1969,1969-2004,C172,Damaged on landing 10.8.1994 Endelave. CofA expired.
OY-DHT,Piper PA-28-140 Cherokee,28-24825,1968,1970-1970,P28A,"(LN-LML), OY-DHT, crashed 4.4.1970 Sennels Hage"
OY-DHY,KZ IIIU-1,55,1946,"1946-1964 
1965",KZ3,Damaged 3.8.1964 Vildbjerg
OY-DHZ,de Havilland D.H.104 Dove 6,04476,1956,1969-1979,DOVE,"G-AOUF, D-IBYW, OY-DHZ Cimber Air, Danmarks
Flyvemuseum"
OY-DIA,KZ IIIU-2,79,1946,1946-1979,KZ3,CofA expired 1973
OY-DIB,KZ IIIU-2,95,1946,1946-1951,KZ3,Crashed 20.5.1951 Karstoft at Brande
OY-DIE,KZ IIIU-2,96,1946,1946-1958,KZ3,Crashed 22.2.1958 into Storebælt
OY-DIF,Klemm L.20B-1,12,1927,1927-1929,,"D-1151, T-DOPF, OY-DIF, (N40), crashed 2.7.1929 Hokksund, Norway"
OY-DIG,Fokker F.XII  (Orlogsværftet),75,1933,1933-1946,,"DDL ""Merkur"", crashed 17.12.1945 Kastrup"
OY-DIH,de Havilland D.H.60G Gipsy Moth,904,1928,1934-1940,DH60,"S-103, S-353, OY-DIH. Stolen by German occupation troops 1943."
OY-DII,Mooney M.20A,1161,1957,1965-1972,M20P,"D-ELER, OE-DOZ, OY-DII, G-BAFB, Hit a car on take off from Wantage, Berkshire 30.10.1974"
OY-DIK,de Havilland D.H.60GIII Moth Major,5131,1935,1935-1939,DH60,Stolen by German occupation troops 1943.
OY-DIL,de Havilland D.H.87B Hornet Moth,8115,1937,1937-1939,DH87,Stolen by German occupation troops 1943.
OY-DIM,Klemm L.25D VII R,1492,1934,1938-1940,KL25,"D-...., OY-DIM. Stolen by German occupation troops 1943."
OY-DIO,Miles M.17 Monarch,788,1938,1938-1939,MONA,Stolen by German occupation troops 1943.
OY-DIP,Piper J2C-40 Cub (Lundtofte),1317,1938,1939-1939,J2,"(NC17883), OY-DIP. Stolen by German occupation troops 1943."
OY-DIR,KZ II Kupe,7,1939,1939-1940,KZ2,Stolen by German occupation troops 1943.
OY-DIS,Piper J3C-50 Cub (Lundtofte),2479,1939,1939-1939,J3,Stolen by German occupation troops 1943.
OY-DIT,Piper J3C-40 Cub (Lundtofte),1995,1939,1939-1939,J3,Stolen by German occupation troops 1943.
OY-DIU,Caudron C.282/9 Phalene,6944/3,1934,1939-1943,,"F-ANBD, SE-AGN, OY-DIU, SE-AGN, 
crashed 14.11.1951 Bobygden"
OY-DIW,Cessna 172C Skyhawk,17248877,1961,1965-1984,C172,"N8377X, SE-CYK, OY-DIW, crashed 30.5.1983 Ejstrupholm"
OY-DJA,SOCATA MS.893A Rallye Commodore 180,10830,1968,1968-1983,RALL,Broken up
OY-DJC,SOCATA MS.880B Rallye Club,1274,1968,1969-1983,RALL,Damaged in storm 18.1.1983 Roskilde
OY-DJD,SOCATA MS.880B Rallye Club,1284,1968,1969,RALL,
OY-DJE,SOCATA MS.880B Rallye Club,1314,1969,1969-1985,RALL,Crashed 10.2.1981 Skovhuse
OY-DJF,SOCATA MS.880B Rallye Club,1315,1969,1969-1980,RALL,Crashed 8.7.1979 Hobro
OY-DJO,SOCATA MS.883 Rallye Club 115,1531,1970,1970-1991,RALL,"OY-DJO, SE-KNN, HA-SJQ"
OY-DJP,SOCATA MS.883 Rallye Club 115,1567,1970,1970-1991,RALL,Broken up 1990
OY-DJT,SOCATA MS.892A Rallye Commodore 150,11471,1970,1970-1975,RALL,"OY-DJT, SE-FNL, LN-FKL"
OY-DJW,SOCATA MS.893A Rallye Commodore 180,11460,1970,(1970),RALL,"F-WNGV, F-BNGV, (OY-DJW), F-BSZE, D-ENAB"
OY-DJY,Piper PA-28-140 Cherokee E,28-7225031,1971,1974-1979,P28A,"N1879T, OY-DJY, crashed 28.9.1975 Lemvig"
OY-DJZ,Beech V35B Bonanza,D-9528,1973,1974,BE36,"N115TW, OY-DJZ"
OY-DKA,KZ IIIU,53,1946,1946-1947,KZ3,"Sportsflyveklubben ""Klodshans"", crashed 21.5.1947 Lundtofte"
OY-DKC,Morane MS.892A Rallye Commodore 150,10657,1966,1967-1981,RALL,"OY-DKC, SE-IIZ, destroyed, cancelled 8.12.1995"
OY-DKD,Beech A23-24 Musketeer Super III,MA-175,1967,1967-1987,BE24,Crashed 24.4.1987 in Kattegat at Anholt
OY-DKE,KZ IIIU-2,59,1946,1946-1946,KZ3,Crashed 22.8.1946 Avedøre
OY-DKG,Douglas C-54E-15-DO Skymaster,27336,1944,1967-1973,DC4,"44-9110, NC90903, SX-DAC, OY-DKG Grønlandsfly ""Papilik"" (den med halen), LN-MOJ, 9Q-CPK. Withdrawn from use Ndolo, Zaire 1981"
OY-DKI,KZ IIIU-2,60,1946,1946-1948,KZ3,"Sportsflyveklubben ""Den flyvende Kuffert"", crashed 27.7.1948 Breisach, Germany"
OY-DKL,Reims Cessna F.150F,62476/F1500007,1966,1966-1968,C150,"OY-DKL, G-AWAV crashed 1.10.1983 Ipswich"
OY-DKM,Beech A23-19 Musketeer Sport,MB-193,1967,1967,BE19,
OY-DKO,KZ IIIU-2,61,1946,"1946-1961 
1962",KZ3,"Sportsflyveklubben ""Den grimme Ælling"", damaged 6.6.1961 Skovlunde"
OY-DKT,Cessna 172G Skyhawk,17254297,1966,1966-1968,C172,"Crashed 1.11.1966 Saglek, Canada"
OY-DKU,KZ IIIU-2,107,1946,1947,KZ3,"Sportsflyveklubben ""Tommelise"""
OY-DKZ,Cessna 172B Skyhawk,17248245,1960,1968-1981,C172,"N7745X, SE-CXT, LN-VYT, OY-DKZ, crashed 4.3.1977 Kirstinesminde"
OY-DLA,Vickers V.628 Viking IB,195,1946,1947-1949,,"OY-DLA DDL ""Alf Viking"", ""Tor Viking"", SU-AGO, damaged in a landing accident 5.8.1954 Luxor"
OY-DLC,Piper PA-30-160 Twin Comanche B,30-1716,1968,1976-1981,PA30,"N8569Y, G-AWMB, OY-DLC, G-OLIN, 
crashed 16.8.1987 Stapleford"
OY-DLD,Piper PA-23-250 Aztec E,27-7305006,1973,1975-1978,PA23,"N40208, G-BATE, OY-DLD, G-BATE, N555AD"
OY-DLE,Vickers V.628 Viking IB,196,1947,1947-1949,,"OY-DLE DDL ""Torleif Viking"", SU-AGN, crashed 7.3.1958 Port Said"
OY-DLF,MRAZ M-1C Sokol,270,1949,1975,SOKL,"OK-DHK, D-ENOV, OY-DLF"
OY-DLH,Piper PA-28R-200 Cherokee Arrow II,28R-7535339,1975,1975-1981,P28R,"N1578X, OY-DLH, G-BIZO"
OY-DLI,Vickers V.628 Viking IB,197,1947,1947-1948,,"OY-DLI DDL ""Torulf Viking"", crashed 29.12.1947 Øresund"
OY-DLK,Piper PA-32-300 Cherokee Six,32-7340188,1973,1975-1991,PA32,"N56526, CS-AOU, OY-DLK, D-EFYB(2)"
OY-DLM,Mitsubishi MU-2B-20,187,1970,1975-1998,MU2,"N108MA, N641KE, N508MA, OY-DLM, N187AF, crashed 10.6.2001 while on approach to Cerrillos, New Mexico"
OY-DLN,Cessna 421B Golden Eagle,421B0845,1974,1975-1977,C421,"N1945G, G-BCXG, OY-DLN, N845TA, 
N41PB"
OY-DLO,Vickers V.628 Viking IB,198,1947,1947-1949,,"OY-DLO DDL ""Tormund Viking"", SU-AGM, ZS-DPA, LX-TRK, broken up 1962 Gatwick"
OY-DLP,Piper PA-31-325  Navajo C/R,31-7400990,1974,"1975-1977 
1978-1981",PA31,"N7454L, OY-DLP, HB-LIT, OY-DLP, SE-IIC, C-FQWP"
OY-DLR,Piper PA-28-180 Challenger,28-7305234,1973,1975-1989,P28A,"CS-AHY, OY-DLR, SE-KHR, G-NINB"
OY-DLU,Vickers V.628 Viking IB,199,1947,1947-1949,,"OY-DLU DDL ""Torlak Viking"", crashed 8.2.1949 into Øresund south of Landskrona"
OY-DLV,Piper PA-30-160 Twin Comanche C,30-1802,1969,1975-1985,PA30,"N8660Y, G-AXCO, OY-DLV Høm Fly, crashed 31.1.1980 Østra Grevie, Skåne, Sweden"
OY-DLY,Piper PA-31-310  Turbo Navajo,31-229,1968,1976,PA31,"N9172Y, G-AWOW, OY-DLY North Flying, HH Logistics ApS, Ikaros Fly ApS"
OY-DLZ,Piper PA-28-140 Cherokee Cruiser,28-7325043,1972,1975-1990,P28A,"N15341, OY-DLZ, D-EFOD(2)"
OY-DMA,KZ IIIU-2,58,1946,1946-1951,KZ3,Crashed 12.4.1951 Farum
OY-DMB,KZ IIIU-2,90,1946,1965-1980,KZ3,"VR-SCH, VR-RBK, VR-OAD, 9M-AMF, 
OY-DMB, CofA expired 1975"
OY-DMC,Piper PA-30-160 Twin Comanche,30-564,1964,1965-1983,PA30,"N7502Y, OY-DMC, crashed 9.2.1983 Maribo"
OY-DME,KZ IIIU-2,67,1946,"1946-1986 
1990",KZ3,"Flew with the wings from KZ-VII c/n 187, O-624 1980-1986. CofA expired 1980. Damaged at landing 16.7.2007 Eslöv, ESME"
OY-DMH,Beech 35-C33 Debonair,CD-928,1965,1965-1998,BE33,"OY-DMH, N140WF, N222EF"
OY-DMJ,KZ VIIU-9 Lærke,174,1947,1965,KZ7,"HB-EPZ, D-ECOC, OY-DMJ. Damaged 8.3.2014 Sønderborg (EKSB)"
OY-DMK,Beech 35-B33 Debonair,CD-745,1964,1965-2000,BE33,"SE-EKD, OY-DMK, LN-AAP"
OY-DMM,Piper PA-22-160  Tri-Pacer,22-5842,1958,1965,PA22,"SE-CEL, LN-AEF, OY-DMM, converted to PA-20 Pacer 1994"
OY-DMO,KZ IIIU-2,105,1946,1947,KZ3,
OY-DMP,Douglas DC-7,"44131
414",1953,1963-1965,DC7,"N310AA, N310A, (SE-XBP), OY-DMP Flying Enterprise ""Alfred Nervø II"", SE-CNI, N4193A, broken up."
OY-DMR,Douglas DC-7,"44140
445",1953,1964-1965,DC7,"N319AA, N319A, (SE-XBR), OY-DMR Flying Enterprise ""John Foltmann II"", SE-CNH, broken up 6.1968 Bromma"
