registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-KTC,Douglas DC-8-55F,"45804
254",1966,1966-1970,DC8,"OY-KTC SAS ""Gorm Viking"", TT 16492H. PH-DCZ ""Hans Christian Andersen"", HP-927, PH-DCZ,  N855BC, C-GMXP, CX-BLN, N855BC, 9G-MKA. Withdrawn from use Manston 2004, broken in 2013"
OY-KKK,Boeing 737-783,"28316
476",2000,(2000),B737,"N1786B, (LN-RPK), (OY-KKK), OY-KKR SAS ""Gjuke Viking"", LN-RNO, wfu and stored St. Athan, UK 2020"
OY-BVC,Beech 200 Super King Air,BB-459,1979,1986-1988,BE20,"N75X, OY-BVC, Fv101002/F7-012, SE-KXM, LN-AWE, SE-KXM, LV-IZK"
OY-BEH,Beech 200 Super King Air,BB-773,1980,1980-1983,BE20,"OY-BEH Hope, N3913U, N83JE, N500CS, wfu in 2020"
OY-RUM,Aeritalia/SNIAS ATR 42-300,010,1986,2003-2006,AT43,"F-WDXL, F-GDXL, F-GLIA, N110VV, OY-RUM Danish Air Transport, LY-RUM, stored Kaunas 2018"
OY-YCB,Aeritalia/SNIAS ATR 42-500,554,1997,2017-2018,AT45,"F-WWLL, 3B-NBB, DQ-PSA, RP-C4200, OY-YCB, (PR-TTN),PR-OHS, 9H-AKW"
OY-YAS,Aeritalia/SNIAS ATR 42-500,584,1999,2015-2015,AT45,"F-WWEP, D-BQQQ, PR-TKH, N584NA, OY-YAS, G-HUET, G-LMRD"
OY-XXH,Schempp-Hirth Duo Discus T,356/65,2002,2009-2019,DUOD,"OO-YTM, OY-XXH Holstebro Svæveflyveklub, OK-4567"
OY-XUI,Centrair ASW 20F,20144,1980,2005-2017,,"F-CFLG, OY-XUI competition number UI, LV-EQM"
OY-KKI,Boeing 737-683,"28313
447",1999,(2000),B736,"(SE-DTH), (OY-KKI), SE-DTH SAS ""Vile Viking"", LN-RGK SAS, broken up 2019"
OY-JTR,Boeing 737-73A,"28497
216",1999,2016-2020,B737,"N1786B, N60436, N1781B, N700AZ, VT-SIG, N497TF, OY-MRO Sterling.eu, N497TF, VQ-BDI, C-FKEJ, OY-JTR Jet Time, Scrapped Coventry, UK (EGBP) 3.2020"
OY-XKG,Scheibe SF-25C Rotax-Falke,44692,2003,2020,SF25,"D-KEOS, OY-XKG (2)"
OY-XBX,Pilatus B4-PC11,082,1973,1973-2017,,"D-KATJ, OY-XBX, competition number 100, D-9689"
OY-RBC,Diamond DA42 Twin Star,42.097,2006,2006-2012,DA42,"OY-RBC Danish Aviation Capital ApS, OH-RAJ (conv. to DA42NG), EC-NHL"
OY-MUX,Akaflieg München Mü 13D2,108,1939,"1949-1980
2020",,"LY-KEVA, WL-XI-217, (LF+VK), OY-MUX, CofA expired 1973. Dansk Svæveflyvehistorisk klub"
